Epoch,TrainingLoss,ValidationLoss
1,0.49257164646553087,0.9269961470757456
2,0.35052917803390116,0.9265266255630801
3,0.3564714410259754,0.9215608050168763
4,0.3607470962820174,0.919594837090699
5,0.3383246825277051,0.9176717654409003
6,0.33236073315898074,0.9187991765259843
7,0.3407854825446877,0.916348937835816
8,0.332321653637705,0.9157033795878912
9,0.32228023662597316,0.914071767081623
10,0.313496703682821,0.9118479693624977
11,0.3361874371767044,0.9098738310482682
12,0.337131758750994,0.9084495806552392
13,0.30245332985739165,0.9053586139343679
14,0.28484626312421846,0.9032807618289856
15,0.3100467473268509,0.893852039182093
16,0.2923665440912488,0.7440112820283199
17,0.2552427094948443,0.5377184076254101
18,0.178510587709614,0.4566545506386319
19,0.17762254291697394,0.44853333888264996
20,0.15690777389497695,0.37729514941262704
