Evaluation,Kind,Output,Unit,Samples,MSE,RMSE,MAE,MaxAbsError,SignalRange,NRMSE_percent,R2,Fit_percent,ReferenceIsFlat
Load2_DCChirp_67mA_31Hz_7s,internal_test,Displacement,mm,1001,0.0002608549903900987,0.016151005863106443,0.012180390935194641,0.06361162662506104,2.3945206236094236,0.6744985072945806,0.998819932719948,96.56478926403048,False
Load2_DCChirp_67mA_31Hz_7s,internal_test,Lorentz force,N,1001,1.217510012995907e-08,0.00011034083618479185,8.3989511196549e-05,0.00035626068711280823,0.024979999288916588,0.4417167306876151,0.9997609797055519,98.4539718810834,False
Load2_DCChirp_87mA_31Hz_7s,internal_test,Displacement,mm,1001,0.0005869818294576023,0.024227707886995877,0.02058164679285299,0.06373387575149536,2.4279200434684753,0.9978791497756526,0.9974164713521149,94.91715763781214,False
Load2_DCChirp_87mA_31Hz_7s,internal_test,Lorentz force,N,1001,4.748183586015272e-08,0.00021790327179772387,0.0001490766947324221,0.001083824783563614,0.024090999737381935,0.9045007437346154,0.9990787658190493,96.96481601718993,False
Load2_DCChirp_107mA_31Hz_7s,internal_test,Displacement,mm,1001,0.0009422671920514422,0.030696370991559283,0.019438026099024782,0.11766317486763,2.569200038909912,1.1947832214958034,0.9963023150225201,93.9191407042426,False
Load2_DCChirp_107mA_31Hz_7s,internal_test,Lorentz force,N,1001,8.966618270871758e-08,0.00029944312099081116,0.0002299922403993902,0.0011229142546653748,0.020514000207185745,1.4597012672639085,0.9980123019819707,95.54163929450601,False
Load2_DCChirp_127mA_31Hz_7s,internal_test,Displacement,mm,1001,0.0011504585164108837,0.03391840969755044,0.02103889062879728,0.11920428276062012,2.6538899540901184,1.2780639093673085,0.995843411847941,93.5528392667322,False
Load2_DCChirp_127mA_31Hz_7s,internal_test,Lorentz force,N,1001,1.969710374548052e-07,0.00044381419248916003,0.0002639139523277511,0.0021907202899456024,0.021258998662233353,2.087653325260313,0.995520175108025,93.30685059783144,False
Load2_DCChirp_107mA_51Hz_11s,internal_test,Displacement,mm,1600,0.001255032387045932,0.03542643627357869,0.021151223416908352,0.23229146003723145,4.001399993896484,0.8853510353280409,0.9967601968049211,94.3080730898237,False
Load2_DCChirp_107mA_51Hz_11s,internal_test,Lorentz force,N,1600,2.3324853854784317e-07,0.0004829581126224542,0.00024880423792637883,0.0028001219034194946,0.03356600180268288,1.4388312181519698,0.9977560776793332,95.26299427837921,False
ALL_internal_test_blocks,internal_test_pooled,Displacement,mm,5604,0.0008835751156995806,0.0297249914331288,0.01912101200964704,0.23229146003723145,4.329499959945679,0.6865686963420541,0.9985400348843637,96.17905101364035,False
ALL_internal_test_blocks,internal_test_pooled,Lorentz force,N,5604,1.2845076920787673e-07,0.0003584002918635485,0.00020088974870395695,0.0028001219034194946,0.0537129994481802,0.6672505641940857,0.9991621765460384,97.10548198492125,False
Load3_DCSine_200mA_1.6s,pure_test,Displacement,mm,1601,0.7655280078042187,0.8749445741326811,0.4117884676058757,5.390919133262614,0.7932109832763672,110.30414260260396,-41.57909460552912,-552.5265864739085,False
Load3_DCSine_200mA_1.6s,pure_test,Lorentz force,N,1601,7.631793443493153e-05,0.008736013646677272,0.0074243365289804976,0.022729098796844482,0.19745122449239716,4.424390716814041,0.9832576745197117,87.06078615978223,False
Load3_Step_200mA_1.6s,pure_test,Displacement,mm,1601,0.6079829396249887,0.7797326077733242,0.29697447741961125,5.390919133214609,1.4572499692440033,53.50712809950076,-23.521131324413293,-395.1881594345052,False
Load3_Step_200mA_1.6s,pure_test,Lorentz force,N,1601,6.645261704807276e-05,0.008151847462267235,0.007915614323070298,0.017211363190199336,0.0976483882454886,8.348163865002507,-2.0842725389161414,-75.62097081260384,False
Load3_Sine_200mA_1.6s,pure_test,Displacement,mm,1601,1.0822221360878075,1.0402990608896114,0.6711623447446268,5.390919133262614,8.604399605827311,12.090315519342816,-0.24960229246262022,-11.785611438262467,False
Load3_Sine_200mA_1.6s,pure_test,Lorentz force,N,1601,0.001653172099391216,0.040659219119299574,0.03604272716331671,0.08725679386407137,0.18601800501346588,21.857679376980872,-5.298910929911041,-150.97631222709126,False
Load3_ZeroInput_1.6s,pure_test,Displacement,mm,1601,1.0109738483852526,1.0054719530574947,0.6943254577311456,5.390919133214609,8.569999619512217,11.73246205015262,-0.2380268967975474,-11.266657036038751,False
Load3_ZeroInput_1.6s,pure_test,Lorentz force,N,1601,9.142616349562458e-05,0.009561702960018396,0.009408039753821942,0.01727511973149376,0.000342819002980832,,,,True
Load2_DCChirp_147mA_31Hz_7s,pure_test,Displacement,mm,7001,0.05410000562670586,0.23259407908780882,0.21064025435101333,0.7160893678665161,2.7075500190258026,8.590573671894637,0.624519841017886,38.72356415536932,False
Load2_DCChirp_147mA_31Hz_7s,pure_test,Lorentz force,N,7001,7.476391213879898e-06,0.0027342990351971195,0.002247457658039957,0.011804584413766861,0.07994480853085406,3.4202333903168194,0.8571910029653735,62.20992232944917,False
Load2_Step_150mA_0.8s,pure_test,Displacement,mm,801,0.03887857291771219,0.19717650194105835,0.13858023860446883,0.8020522594451904,2.299999952316284,8.572891566475288,0.6385994698320824,39.88340244425691,False
Load2_Step_150mA_0.8s,pure_test,Lorentz force,N,801,1.2920283159521048e-05,0.0035944795394494944,0.002252657434864799,0.01572837308049202,0.07252966254009152,4.955875173778188,0.5612432266475293,33.761282217084656,False
Load2_ZeroInput_0.8s,pure_test,Displacement,mm,801,0.5773879306716373,0.7598604678963351,0.4724986149756031,3.1003215312957764,4.3404002001356226,17.50669138464679,-1.1225246763135264,-45.68886972976094,False
Load2_ZeroInput_0.8s,pure_test,Lorentz force,N,801,1.1832438113928653e-06,0.0010877701096246694,0.0009545972445663403,0.0027892007601622026,0.00040909000381361693,,,,True
