time_s,measured_displacement_mm,predicted_displacement_mm,measured_force_N,predicted_force_N,displacement_error_mm,force_error_N
0.378,-2.4416,-2.4300508,0.020397,0.019673537,-0.011549234,0.00072346255
0.38,-2.3158,-2.3123326,0.023377,0.023127224,-0.0034673214,0.00024977513
0.382,-2.1821,-2.1847959,0.026524,0.026417457,0.0026957989,0.0001065433
0.384,-2.0401,-2.0460038,0.029803,0.029449228,0.005903721,0.0003537722
0.386,-1.8891,-1.8963507,0.033201,0.03250528,0.007250786,0.0006957203
0.388,-1.7293,-1.7366378,0.036579,0.035908364,0.0073378086,0.00067063794
0.39,-1.5621,-1.5689765,0.039928,0.039513774,0.0068764687,0.0004142262
0.392,-1.3869,-1.3956888,0.043054,0.043108955,0.008788824,-5.4955482e-05
0.394,-1.2039,-1.2161808,0.046011,0.04624898,0.012280822,-0.000237979
0.396,-1.0148,-1.0304929,0.048724,0.048859827,0.01569295,-0.00013582781
0.398,-0.8206801,-0.83991283,0.051146,0.050971728,0.01923275,0.0001742728
0.4,-0.62226,-0.64477754,0.053239,0.052709065,0.022517562,0.0005299337
0.402,-0.42164993,-0.4451065,0.054812,0.054119024,0.023456573,0.0006929748
0.404,-0.22039986,-0.24249339,0.056039,0.05516436,0.022093534,0.0008746423
0.406,-0.02078998,-0.03830564,0.055976,0.056128927,0.01751566,-0.00015292689
0.408,0.17510998,0.16439605,0.0557,0.055941883,0.010713935,-0.0002418831
0.41,0.36493993,0.36230087,0.055073,0.0555837,0.0026390553,-0.00051070005
0.412,0.54663014,0.5518398,0.054295,0.054867037,-0.0052096844,-0.00057203695
0.414,0.7179501,0.73022795,0.054491,0.053928114,-0.012277842,0.0005628839
0.416,0.8792701,0.89553714,0.052606,0.053763304,-0.016267061,-0.0011573024
0.418,1.0283,1.0487137,0.050488,0.050989028,-0.020413637,-0.0005010292
0.42,1.1632001,1.1873975,0.048243,0.047513194,-0.02419734,0.0007298067
0.422,1.2819998,1.3082569,0.047091,0.043989837,-0.026257038,0.0031011626
0.424,1.3830004,1.4083703,0.044532,0.042222157,-0.025369883,0.002309844
0.426,1.4670999,1.4861276,0.041969,0.039696082,-0.01902771,0.0022729188
0.428,1.533,1.5438166,0.039458,0.037541933,-0.010816574,0.0019160658
0.43,1.5786002,1.5825255,0.037047,0.035593197,-0.0039253235,0.001453802
0.432,1.6028998,1.6024036,0.034746,0.033801924,0.00049614906,0.00094407424
0.434,1.6048999,1.6032321,0.032548,0.03205835,0.001667738,0.00048964843
0.436,1.5837,1.5835211,0.030426,0.030257251,0.00017881393,0.0001687482
0.438,1.5388002,1.5415471,0.028343,0.028361939,-0.0027468204,-1.8939376e-05
0.44,1.4694002,1.4761238,0.026244,0.02637336,-0.0067236423,-0.0001293607
0.442,1.375,1.3859239,0.024066,0.024275983,-0.010923862,-0.00020998344
0.444,1.2551,1.2699921,0.021733,0.02203706,-0.014892101,-0.0003040582
0.446,1.1091001,1.1273973,0.019171,0.019606043,-0.018297195,-0.00043504313
0.448,0.93639994,0.957129,0.016302,0.016931478,-0.020729065,-0.0006294772
0.45,0.73658013,0.7582376,0.013047,0.0139513435,-0.021657467,-0.0009043431
0.452,0.50738,0.53009844,0.0091195,0.010593372,-0.02271843,-0.001473872
0.454,0.25163996,0.2703371,0.0055882,0.006597353,-0.018697143,-0.0010091532
0.456,-0.030933976,-0.02149725,0.001779601,0.0033270465,-0.009436727,-0.0015474455
0.458,-0.34071994,-0.3369552,-0.0020218007,-0.00074273534,-0.0037647486,-0.0012790654
0.46,-0.67295,-0.6754372,-0.0060163997,-0.0047228932,0.0024871826,-0.0012935065
0.462,-1.0274,-1.0323527,-0.009536799,-0.008653533,0.004952669,-0.00088326633
0.464,-1.3982,-1.4077661,-0.012672,-0.011752453,0.009566069,-0.00091954693
0.466,-1.7828,-1.7964177,-0.014529999,-0.01407595,0.013617754,-0.00045404956
0.468,-2.1751,-2.1953716,-0.015813,-0.0149005875,0.02027154,-0.000912413
0.47,-2.5701,-2.5962343,-0.015714,-0.0154149085,0.026134253,-0.00029909238
0.472,-2.9621,-2.9908442,-0.015076999,-0.015013576,0.02874422,-6.342307e-05
0.474,-3.3461,-3.3721247,-0.013905998,-0.014195621,0.02602458,0.0002896227
0.476,-3.7162,-3.736594,-0.012977999,-0.012930781,0.020393848,-4.7218055e-05
0.478,-4.0687,-4.082565,-0.011815999,-0.012063522,0.013864994,0.0002475232
0.48,-4.4008,-4.4086037,-0.0107269995,-0.011051992,0.00780344,0.00032499246
0.482,-4.7058,-4.71165,-0.010292001,-0.010180935,0.0058498383,-0.000111065805
0.484,-4.9812994,-4.9840913,-0.009503599,-0.010010812,0.0027918816,0.0005072132
0.486,-5.2291,-5.2228947,-0.0088156,-0.009457119,-0.006205559,0.0006415192
