Epoch,TrainingLoss,ValidationLoss,TrainingRMSE,ValidationRMSE
1,0.2906931887070338,0.3798028528690338,0.5223066036899885,0.6162814497947693
2,0.23011463259657225,0.3277757465839386,0.4734623158971469,0.5725170373916626
3,0.1961788951108853,0.2736583948135376,0.41703223064541817,0.5231236815452576
4,0.141938799371322,0.21635274589061737,0.36110199863711995,0.4651373326778412
5,0.13281241012737155,0.21440036594867706,0.33724567169944447,0.46303388476371765
6,0.12551002871866027,0.19569772481918335,0.3350297560294469,0.44237735867500305
7,0.11402106719712417,0.150325745344162,0.32019987454017,0.38771864771842957
8,0.08900026480356853,0.11880861222743988,0.28960418328642845,0.34468623995780945
9,0.0725415504227082,0.15700285136699677,0.26256419345736504,0.396235853433609
10,0.07245764726152022,0.11133415997028351,0.25718146562576294,0.33366772532463074
11,0.0645147607040902,0.11622941493988037,0.2383919699738423,0.34092435240745544
12,0.06075873039662838,0.11172136664390564,0.23227451120813689,0.3342474699020386
13,0.061068175826221704,0.10503179579973221,0.23674689109126726,0.32408609986305237
14,0.060672602305809654,0.10206559300422668,0.23251004392902055,0.31947705149650574
15,0.05549714186539253,0.07748524844646454,0.22764250884453455,0.2783617079257965
16,0.04801497748121619,0.07096276432275772,0.20985875527064005,0.2663883566856384
17,0.0561577780948331,0.09869413822889328,0.22680841075877348,0.3141562342643738
18,0.048859243746846914,0.06977596879005432,0.21213428551952043,0.2641514241695404
19,0.044048330280929804,0.06386588513851166,0.20202098103861013,0.2527170181274414
20,0.040746851513783135,0.06079012155532837,0.19221793922285238,0.24655653536319733
21,0.03850224039827784,0.06047794595360756,0.18663341738283634,0.24592263996601105
22,0.04256498309162756,0.0629267692565918,0.190327829370896,0.2508520781993866
23,0.038296044416104756,0.05764098837971687,0.18233325332403183,0.24008537828922272
24,0.0373171113897115,0.05553193762898445,0.17852345171074072,0.2356521487236023
25,0.037647552555426955,0.05797026678919792,0.18291903659701347,0.2407701462507248
26,0.037556777941063046,0.05376201868057251,0.18319881769518057,0.23186637461185455
27,0.03932886500842869,0.05761849135160446,0.19029352565606436,0.24003851413726807
28,0.03937062593953063,0.0554472841322422,0.18631321067611376,0.23547247052192688
29,0.040296514285728335,0.057385023683309555,0.18445029482245445,0.23955170810222626
30,0.04048851411789656,0.056471772491931915,0.1876368150115013,0.23763790726661682
31,0.039048028139707945,0.05489076301455498,0.18649204013248286,0.2342877835035324
32,0.03687896113842726,0.060013506561517715,0.17795957190295061,0.24497653543949127
33,0.04032584403951963,0.06499015539884567,0.18651730380952358,0.25493165850639343
34,0.0487703625112772,0.05600246414542198,0.2121381163597107,0.23664839565753937
35,0.038421719800680876,0.05689508840441704,0.18656959012150764,0.23852691054344177
36,0.037932139821350574,0.05430050194263458,0.17475955374538898,0.2330246865749359
37,0.03597968785713116,0.05111794173717499,0.17602331936359406,0.22609277069568634
38,0.034577284551536046,0.05430365726351738,0.17161680137117705,0.23303145170211792
39,0.03507236111909151,0.048942435532808304,0.16833626913527647,0.22122937440872192
40,0.03518961494167646,0.0520741268992424,0.17933660931885242,0.22819755971431732
41,0.03349420754238963,0.051961563527584076,0.17125341358284155,0.2279507964849472
42,0.03249915759079158,0.0550697036087513,0.16938613541424274,0.23466934263706207
43,0.03429112591159841,0.04636133089661598,0.17915601345400015,0.21531681716442108
44,0.030784898010703426,0.05027081444859505,0.15732520259916782,0.22421154379844666
45,0.03225104611677428,0.04412471875548363,0.16932057278851667,0.21005885303020477
46,0.03159385329733292,0.04832269251346588,0.1664136710266272,0.21982422471046448
47,0.028174679183090728,0.03772180154919624,0.1551644584784905,0.19422100484371185
48,0.029523740367343027,0.05460062250494957,0.16772500115136305,0.2336677610874176
49,0.0352295608803009,0.05272315442562103,0.16976560528079668,0.2296152263879776
50,0.036361002285654344,0.038791723549366,0.17514735708634058,0.19695614278316498
51,0.029841921913127106,0.03654331713914871,0.1689198079208533,0.1911630630493164
52,0.03486724461739262,0.08642788976430893,0.1741119126478831,0.2939862012863159
53,0.04155453760176897,0.059455011039972305,0.18532448137799898,0.243833988904953
54,0.033106320071965456,0.05466427281498909,0.16860526179273924,0.2338039129972458
55,0.02616957346132646,0.03874143958091736,0.15046962536871433,0.1968284547328949
56,0.02815509067537884,0.045279841870069504,0.15468126411239305,0.2127906084060669
57,0.039295149656633534,0.070474773645401,0.18750780262053013,0.26547086238861084
58,0.040472038400669895,0.041799165308475494,0.19113133226831755,0.20444844663143158
59,0.027258723508566618,0.032933007925748825,0.155288344870011,0.18147453665733337
60,0.02137360085422794,0.0322774276137352,0.1385928156475226,0.17965920269489288
61,0.018811795200842123,0.021134747192263603,0.12626301807661852,0.14537794888019562
62,0.020000778681909043,0.01463383063673973,0.1336584072560072,0.12097036838531494
63,0.021013590701234836,0.021707808598876,0.13623668191333613,0.1473356932401657
64,0.02171478575716416,0.06611032038927078,0.14268283980588117,0.2571192681789398
65,0.03291607011730472,0.01575358211994171,0.1667824157824119,0.12551327049732208
66,0.017858190617213648,0.014102010987699032,0.12479974453647931,0.1187518909573555
67,0.01426857135569056,0.07470271736383438,0.11320638097822666,0.27331799268722534
68,0.050073981207485,0.0752512663602829,0.1955850813537836,0.2743196487426758
69,0.052311140190189086,0.09597983956336975,0.22124687023460865,0.30980613827705383
70,0.05771093753476938,0.05076506361365318,0.23144708201289177,0.2253110408782959
71,0.03735925924653808,0.039125703275203705,0.1856535772482554,0.19780218601226807
72,0.03639074655560156,0.04427255317568779,0.18141997357209524,0.2104104459285736
73,0.020414685714058578,0.03401893749833107,0.1370647239188353,0.18444223701953888
74,0.019822329593201477,0.01642572693526745,0.12811950159569582,0.12816289067268372
75,0.015041461253228286,0.016775164753198624,0.11528216488659382,0.12951897084712982
76,0.008703783620148897,0.026675499975681305,0.08984837339570124,0.16332636773586273
77,0.038942364238513015,0.035271018743515015,0.1754632703959942,0.18780580163002014
78,0.02348385623190552,0.02218208834528923,0.14636428530017534,0.14893652498722076
79,0.02706473390571773,0.041803449392318726,0.14949836240460476,0.20445892214775085
80,0.023882861093928415,0.02816643938422203,0.14879328509171805,0.16782860457897186
81,0.019509378199776013,0.04011910408735275,0.13122633068511882,0.2002975344657898
82,0.03245467894400159,0.05583401396870613,0.17440780190130076,0.23629222810268402
83,0.03260801076733818,0.018357736989855766,0.17352719170351824,0.13549073040485382
84,0.017665621320096154,0.011529335752129555,0.12551151774823666,0.10737474262714386
85,0.009513875023306658,0.008508448489010334,0.09406553798665603,0.09224124997854233
86,0.010723624494858086,0.006069412920624018,0.10081671923398972,0.07790643721818924
87,0.00546699403397118,0.019217809662222862,0.07300054126729567,0.13862831890583038
88,0.01974338312478115,0.06257565319538116,0.13399095895389715,0.25015124678611755
89,0.044297162404594324,0.025273071601986885,0.18426194787025452,0.15897506475448608
90,0.02254549398397406,0.021030720323324203,0.13923456519842148,0.14501972496509552
91,0.011692550285564115,0.024777336046099663,0.10052057697127263,0.15740817785263062
92,0.013054715605297437,0.011408147402107716,0.10837854693333308,0.10680893063545227
93,0.007069732780413081,0.005683970171958208,0.07795961387455463,0.07539211213588715
94,0.004083604668267071,0.007165683899074793,0.06014082829157511,0.08465036004781723
95,0.004008281325999026,0.003642445197328925,0.05945246728758017,0.06035267189145088
96,0.004545191128272563,0.010583637282252312,0.06330381395916145,0.10287680476903915
97,0.01188739804395785,0.004464828409254551,0.09747269190847874,0.06681936979293823
98,0.012277417496079579,0.01736430637538433,0.09693422199537356,0.1317736953496933
99,0.019878919352777302,0.026009613648056984,0.13037476626535258,0.1612749695777893
100,0.020846453107272584,0.07595507800579071,0.13686575616399446,0.27559947967529297
101,0.021681630867533386,0.008563118986785412,0.1333919713894526,0.09253711998462677
102,0.008217786458165696,0.010247649624943733,0.08376681494216125,0.1012306734919548
103,0.004153055788871522,0.012564950622618198,0.06141792703419924,0.1120934933423996
104,0.009836600899385909,0.010615075938403606,0.09412388410419226,0.10302948951721191
105,0.014403827818265805,0.005715156905353069,0.10950504491726558,0.07559865713119507
106,0.006322072265902534,0.003535707015544176,0.07566180514792602,0.059461809694767
107,0.0032313514966517687,0.0025543905794620514,0.0556572237983346,0.0505409799516201
108,0.0026123205898329616,0.002343518892303109,0.049243941282232605,0.04840990528464317
109,0.003512100171064958,0.009922793135046959,0.05619970646997293,0.09961321949958801
110,0.012717601629750183,0.008732437156140804,0.10031733227272828,0.09344751387834549
111,0.03073416114784777,0.041178733110427856,0.15886892657727003,0.202925443649292
112,0.019980240613222122,0.0286822821944952,0.13389930749932924,0.16935844719409943
113,0.013785991546077033,0.009833140298724174,0.11385791997114818,0.09916219115257263
114,0.011597978610855838,0.006413889117538929,0.10105845549454291,0.08008676022291183
115,0.009852715292557454,0.009723618626594543,0.09154915809631348,0.09860841184854507
116,0.010376443135707328,0.04193321615457535,0.09218393297245105,0.20477601885795593
117,0.016527875879546627,0.011347638443112373,0.1103643449023366,0.10652529448270798
118,0.005309900618158281,0.0046550133265554905,0.07032662443816662,0.06822765618562698
119,0.003028168100475644,0.007155491970479488,0.05275395202140013,0.08459014445543289
120,0.004844576275597016,0.009163089096546173,0.06742345665891965,0.09572402387857437
121,0.007680703536607325,0.016692589968442917,0.08004830436160167,0.1291998028755188
122,0.014877828129101545,0.005172543227672577,0.09987495591243108,0.07192039489746094
123,0.0036769978954301528,0.005974676925688982,0.05887188948690891,0.07729603350162506
124,0.0034833480312954634,0.011088080704212189,0.058193303955097996,0.10529995709657669
125,0.011688180781978494,0.041885729879140854,0.09900208935141563,0.20466002821922302
126,0.012460432073567063,0.009200776927173138,0.10127590068926413,0.09592068195343018
127,0.01557981304358691,0.013021868653595448,0.11328061359624068,0.11411340534687042
128,0.006051750698437293,0.0043662847019732,0.07312303315848112,0.06607786566019058
129,0.005935249093454331,0.002673764480277896,0.07130989773819844,0.05170845612883568
130,0.004856392605385433,0.018778234720230103,0.06820073847969373,0.13703370094299316
131,0.010076636545515308,0.005939222406595945,0.0931702299664418,0.0770663470029831
132,0.007834497538472837,0.008616392500698566,0.07818833583345015,0.0928245261311531
133,0.0031282827258110046,0.002958243479952216,0.053128461353480816,0.05438973754644394
134,0.0023291172401513904,0.00639224611222744,0.04641521628946066,0.07995152473449707
135,0.0037513682327698916,0.0017475810600444674,0.05703618532667557,0.041804078966379166
136,0.0024912547814892605,0.0016236687079071999,0.04805391809592644,0.04029477387666702
137,0.002543456027827536,0.0066297296434640884,0.04768032766878605,0.08142314851284027
138,0.003203249172656797,0.002819425193592906,0.053999827398608126,0.05309826135635376
139,0.002018474517778183,0.002285453025251627,0.04395397333428264,0.04780641198158264
140,0.0031823548633838072,0.002214978216215968,0.05231236604352792,0.04706355556845665
141,0.00261129242911314,0.0018527635838836432,0.049909473862499,0.04304374009370804
142,0.0015821507161793609,0.002772735897451639,0.039510691072791815,0.05265677347779274
143,0.0022158402134664357,0.0033255808521062136,0.045107453130185604,0.057667847722768784
144,0.0015742578349697094,0.0023122013080865145,0.03937912049392859,0.04808535426855087
145,0.002410278621634158,0.0034920470789074898,0.044765361584722996,0.059093546122312546
146,0.004259773568871121,0.005685411859303713,0.06160068605095148,0.075401671230793
147,0.004738870309665799,0.008344859816133976,0.06203115591779351,0.09135020524263382
148,0.008567884021128217,0.008728904649615288,0.08535201878597339,0.0934286043047905
149,0.003363046474987641,0.003913831897079945,0.0564871650810043,0.06256062537431717
150,0.0030390226650827876,0.008529646322131157,0.05299927511562904,0.09235608577728271
