Time_s,Current_A,CurrentForModel_A,CoilForce_N,CoilForceForModel_N,WeightLoad_N,NetForce_N,Displacement_mm,DisplacementForModel_mm
0.0408,0.2,0.2,0.0098609,0.0098609,0.025637,-0.0157761,6.25236513804472,6.25236513804472
0.0416,0.2,0.2,0.0087974,0.0087974,0.025637,-0.0168396,6.35021510906195,6.35021510906195
0.0424,0.2,0.2,0.0078035,0.0078035,0.025637,-0.017833500000000002,6.44242753609086,6.44242753609086
0.0432,0.2,0.2,0.008238,0.008238,0.025637,-0.017398999999999998,6.52895869020917,6.52895869020917
0.044,0.2,0.2,0.0098497,0.0098497,0.025637,-0.0157873,6.61050135925233,6.61050135925233
0.0448,0.2,0.2,0.0091,0.0091,0.025637,-0.016537,6.68703186908559,6.68703186908559
0.0456,0.2,0.2,0.0083834,0.0083834,0.025637,-0.0172536,6.76021335737718,6.76021335737718
0.0464,0.2,0.2,0.0077322,0.0077322,0.025637,-0.0179048,6.82668688614433,6.82668688614433
0.0472,0.2,0.2,0.0071295,0.0071295,0.025637,-0.0185075,6.88813194379194,6.88813194379194
0.048,0.2,0.2,0.0065755,0.0065755,0.025637,-0.019061500000000002,6.94456250128479,6.94456250128479
0.0488,0.2,0.2,0.0060705,0.0060705,0.025637,-0.0195665,6.99600139709196,6.99600139709196
0.0496,0.2,0.2,0.0056151,0.0056151,0.025637,-0.020021900000000002,7.04248024159878,7.04248024159878
0.0504,0.2,0.2,0.0063604,0.0063604,0.025637,-0.019276599999999998,7.085669080108126,7.085669080108126
0.0512,0.2,0.2,0.0079402,0.0079402,0.025637,-0.0176968,7.12292081093374,7.12292081093374
0.052,0.2,0.2,0.0076197,0.0076197,0.025637,-0.0180173,7.15592092817124,7.15592092817124
0.0528,0.2,0.2,0.0073356,0.0073356,0.025637,-0.0183014,7.18610741352156,7.18610741352156
0.0536,0.2,0.2,0.0071101,0.0071101,0.025637,-0.0185269,7.2107384839463,7.2107384839463
0.0544,0.2,0.2,0.006926,0.006926,0.025637,-0.018711,7.2312836795978,7.2312836795978
0.0552,0.2,0.2,0.0067805,0.0067805,0.025637,-0.018856499999999998,7.24781148316841,7.24781148316841
0.056,0.2,0.2,0.0066599,0.0066599,0.025637,-0.0189771,7.26169308042337,7.26169308042337
0.0568,0.2,0.2,0.0065706,0.0065706,0.025637,-0.0190664,7.27209109178447,7.27209109178447
0.0576,0.2,0.2,0.0065136,0.0065136,0.025637,-0.0191234,7.27877723635318,7.27877723635318
0.0584,0.2,0.2,0.0064885,0.0064885,0.025637,-0.0191485,7.28173017012647,7.28173017012647
0.0592,0.2,0.2,0.0064948,0.0064948,0.025637,-0.019142199999999998,7.2810005758773,7.2810005758773
0.06,0.2,0.2,0.0065318,0.0065318,0.025637,-0.0191052,7.27666581351621,7.27666581351621
0.0608,0.2,0.2,0.006599,0.006599,0.025637,-0.019038,7.26881460097607,7.26881460097607
0.0616,0.2,0.2,0.0066963,0.0066963,0.025637,-0.0189407,7.25754178494859,7.25754178494859
0.0624,0.2,0.2,0.0068237,0.0068237,0.025637,-0.018813299999999998,7.24294652362864,7.24294652362864
0.0632,0.2,0.2,0.0069814,0.0069814,0.025637,-0.0186556,7.2251316463505,7.2251316463505
0.064,0.2,0.2,0.0071702,0.0071702,0.025637,-0.0184668,7.20420344252929,7.20420344252929
0.0648,0.2,0.2,0.0073908,0.0073908,0.025637,-0.0182462,7.18027162912974,7.18027162912974
0.0656,0.2,0.2,0.0076444,0.0076444,0.025637,-0.0179926,7.15344940993166,7.15344940993166
0.0664,0.2,0.2,0.0079322,0.0079322,0.025637,-0.0177048,7.12385359160737,7.12385359160737
0.0672,0.2,0.2,0.0082557,0.0082557,0.025637,-0.017381300000000002,7.09160473511781,7.09160473511781
0.068,0.2,0.2,0.0086163,0.0086163,0.025637,-0.0170207,7.05682732128392,7.05682732128392
0.0688,0.2,0.2,0.0090153,0.0090153,0.025637,-0.0166217,7.0196499054102,7.0196499054102
0.0696,0.2,0.2,0.0094535,0.0094535,0.025637,-0.0161835,6.98020523096372,6.98020523096372
0.0704,0.2,0.2,0.0099311,0.0099311,0.025637,-0.015705900000000002,6.93863026829414,6.93863026829414
0.0712,0.2,0.2,0.010448,0.010448,0.025637,-0.015189,6.89506614252242,6.89506614252242
0.072,0.2,0.2,0.011002,0.011002,0.025637,-0.014635,6.84965791629144,6.84965791629144
0.0728,0.2,0.2,0.011591,0.011591,0.025637,-0.014046,6.80255419925213,6.80255419925213
0.0736,0.2,0.2,0.012212,0.012212,0.025637,-0.013425,6.75390656775022,6.75390656775022
0.0744,0.2,0.2,0.012859,0.012859,0.025637,-0.012778,6.70386879499297,6.70386879499297
0.0752,0.2,0.2,0.013527,0.013527,0.025637,-0.01211,6.65259591228151,6.65259591228151
0.076,0.2,0.2,0.01421,0.01421,0.025637,-0.011427,6.60024314227106,6.60024314227106
0.0768,0.2,0.2,0.014901,0.014901,0.025637,-0.010736,6.54696476121741,6.54696476121741
0.0776,0.2,0.2,0.015594,0.015594,0.025637,-0.010043,6.49291295473796,6.49291295473796
0.0784,0.2,0.2,0.015312,0.015312,0.025637,-0.010325,6.43823672874343,6.43823672874343
0.0792,0.2,0.2,0.011088,0.011088,0.025637,-0.014549,6.38180913501756,6.38180913501756
0.08,0.2,0.2,0.011788,0.011788,0.025637,-0.013849,6.32410745518627,6.32410745518627
0.0808,0.2,0.2,0.012532,0.012532,0.025637,-0.013105,6.26563221284843,6.26563221284843
0.0816,0.2,0.2,0.013327,0.013327,0.025637,-0.01231,6.20584157173783,6.20584157173783
0.0824,0.2,0.2,0.014164,0.014164,0.025637,-0.011473,6.14530106343568,6.14530106343568
0.0832,0.2,0.2,0.015039,0.015039,0.025637,-0.010598,6.08419228841933,6.08419228841933
0.084,0.2,0.2,0.015944,0.015944,0.025637,-0.009693,6.0226983541892,6.0226983541892
0.0848,0.2,0.2,0.016872,0.016872,0.025637,-0.008764999999999998,5.96100229792105,5.96100229792105
0.0856,0.2,0.2,0.017813,0.017813,0.025637,-0.007824000000000001,5.89928537110983,5.89928537110983
0.0864,0.2,0.2,0.0177,0.0177,0.025637,-0.007937,5.83772530892178,5.83772530892178
0.0872,0.2,0.2,0.015052,0.015052,0.025637,-0.010585,5.7756233595037,5.7756233595037
0.088,0.2,0.2,0.015959,0.015959,0.025637,-0.009677999999999999,5.71316241769433,5.71316241769433
0.0888,0.2,0.2,0.016888,0.016888,0.025637,-0.008749,5.65054395378672,5.65054395378672
0.0896,0.2,0.2,0.017836,0.017836,0.025637,-0.007800999999999999,5.58785360781027,5.58785360781027
0.0904,0.2,0.2,0.018796,0.018796,0.025637,-0.006841,5.5253499738496,5.5253499738496
0.0912,0.2,0.2,0.019762,0.019762,0.025637,-0.005875000000000002,5.46320984706712,5.46320984706712
0.092,0.2,0.2,0.020728,0.020728,0.025637,-0.004909,5.40160588397708,5.40160588397708
0.0928,0.2,0.2,0.021688,0.021688,0.025637,-0.003949000000000001,5.34070554843933,5.34070554843933
0.0936,0.2,0.2,0.022637,0.022637,0.025637,-0.002999999999999999,5.28067017460737,5.28067017460737
0.0944,0.2,0.2,0.023568,0.023568,0.025637,-0.0020690000000000014,5.22165418969177,5.22165418969177
0.0952,0.2,0.2,0.0229665,0.0229665,0.025637,-0.0026704999999999993,5.163804508761885,5.163804508761885
0.096,0.2,0.2,0.020243,0.020243,0.025637,-0.0053939999999999995,5.10629938370036,5.10629938370036
0.0968,0.2,0.2,0.021177,0.021177,0.025637,-0.004459999999999999,5.04930595910615,5.04930595910615
0.0976,0.2,0.2,0.022131,0.022131,0.025637,-0.0035059999999999987,4.99272837084113,4.99272837084113
0.0984,0.2,0.2,0.023088,0.023088,0.025637,-0.002548999999999999,4.93720210447337,4.93720210447337
0.0992,0.2,0.2,0.024046,0.024046,0.025637,-0.0015909999999999987,4.88267916953122,4.88267916953122
0.1,0.2,0.2,0.024999,0.024999,0.025637,-0.0006379999999999997,4.82931459314365,4.82931459314365
0.1008,0.2,0.2,0.025938,0.025938,0.025637,0.0003009999999999992,4.77725738737011,4.77725738737011
0.1016,0.2,0.2,0.026859,0.026859,0.025637,0.0012220000000000009,4.72664956959686,4.72664956959686
0.1024,0.2,0.2,0.027756,0.027756,0.025637,0.0021189999999999994,4.6776253460308,4.6776253460308
0.1032,0.2,0.2,0.028624,0.028624,0.025637,0.002987,4.63031046881751,4.63031046881751
0.104,0.2,0.2,0.029461,0.029461,0.025637,0.003824000000000001,4.58482176086247,4.58482176086247
0.1048,0.2,0.2,0.030263,0.030263,0.025637,0.004626000000000002,4.54126678997942,4.54126678997942
0.1056,0.2,0.2,0.030151999999999998,0.030151999999999998,0.025637,0.004514999999999998,4.49974366676023,4.49974366676023
0.1064,0.2,0.2,0.026561,0.026561,0.025637,0.0009240000000000012,4.45936713636438,4.45936713636438
0.1072,0.2,0.2,0.027349,0.027349,0.025637,0.0017119999999999982,4.42025804629284,4.42025804629284
0.108,0.2,0.2,0.028134,0.028134,0.025637,0.0024969999999999992,4.38204661435952,4.38204661435952
0.1088,0.2,0.2,0.028895,0.028895,0.025637,0.0032580000000000005,4.34578018087032,4.34578018087032
0.1096,0.2,0.2,0.029636,0.029636,0.025637,0.003998999999999999,4.31111376231118,4.31111376231118
0.1104,0.2,0.2,0.030353,0.030353,0.025637,0.0047160000000000014,4.27814426528441,4.27814426528441
0.1112,0.2,0.2,0.031041,0.031041,0.025637,0.005403999999999999,4.24696105476473,4.24696105476473
0.112,0.2,0.2,0.031698,0.031698,0.025637,0.006060999999999997,4.21764539219244,4.21764539219244
0.1128,0.2,0.2,0.032319,0.032319,0.025637,0.0066820000000000004,4.19026993204998,4.19026993204998
0.1136,0.2,0.2,0.032901,0.032901,0.025637,0.007264,4.16489829058061,4.16489829058061
0.1144,0.2,0.2,0.03344,0.03344,0.025637,0.0078029999999999974,4.14158469594225,4.14158469594225
0.1152,0.2,0.2,0.033935,0.033935,0.025637,0.008298,4.12037372487684,4.12037372487684
0.116,0.2,0.2,0.034384,0.034384,0.025637,0.008746999999999998,4.10130012727567,4.10130012727567
0.1168,0.2,0.2,0.034783,0.034783,0.025637,0.009146000000000001,4.08438873704884,4.08438873704884
0.1176,0.2,0.2,0.035133,0.035133,0.025637,0.009495999999999997,4.06965446553092,4.06965446553092
0.1184,0.2,0.2,0.035432,0.035432,0.025637,0.009794999999999998,4.05710237223305,4.05710237223305
0.1192,0.2,0.2,0.03568,0.03568,0.025637,0.010043000000000003,4.04672780696996,4.04672780696996
0.12,0.2,0.2,0.035877,0.035877,0.025637,0.010239999999999999,4.03851661710519,4.03851661710519
0.1208,0.2,0.2,0.036023,0.036023,0.025637,0.010386,4.03244541372353,4.03244541372353
0.1216,0.2,0.2,0.036118,0.036118,0.025637,0.010480999999999997,4.02848189083053,4.02848189083053
0.1224,0.2,0.2,0.036163,0.036163,0.025637,0.010526,4.0265851920894,4.0265851920894
0.1232,0.2,0.2,0.03616,0.03616,0.025637,0.010522999999999998,4.0267063200613,4.0267063200613
0.124,0.2,0.2,0.03611,0.03611,0.025637,0.010473000000000003,4.02878858335855,4.02878858335855
0.1248,0.2,0.2,0.036015,0.036015,0.025637,0.010377999999999998,4.03276807751425,4.03276807751425
0.1256,0.2,0.2,0.035875,0.035875,0.025637,0.010237999999999997,4.03857419569103,4.03857419569103
0.1264,0.2,0.2,0.035694,0.035694,0.025637,0.010056999999999996,4.0461301655798,4.0461301655798
0.1272,0.2,0.2,0.035474,0.035474,0.025637,0.009836999999999999,4.05535360896607,4.05535360896607
0.128,0.2,0.2,0.035216,0.035216,0.025637,0.009578999999999997,4.06615712046445,4.06615712046445
0.1288,0.2,0.2,0.034935,0.034935,0.025637,0.009298,4.07797381931457,4.07797381931457
0.1296,0.2,0.2,0.034624,0.034624,0.025637,0.008987000000000002,4.09108619655797,4.09108619655797
0.1304,0.2,0.2,0.034284,0.034284,0.025637,0.008647000000000002,4.1055265887537,4.1055265887537
0.1312,0.2,0.2,0.033915,0.033915,0.025637,0.008278,4.12124038672463,4.12124038672463
0.132,0.2,0.2,0.03352,0.03352,0.025637,0.007883000000000001,4.13814170319925,4.13814170319925
0.1328,0.2,0.2,0.033102,0.033102,0.025637,0.007464999999999999,4.1561326209184,4.1561326209184
0.1336,0.2,0.2,0.032665,0.032665,0.025637,0.0070279999999999995,4.17511011306804,4.17511011306804
0.1344,0.2,0.2,0.032211,0.032211,0.025637,0.0065739999999999965,4.19496878893748,4.19496878893748
0.1352,0.2,0.2,0.031743,0.031743,0.025637,0.006106,4.21560221939357,4.21560221939357
0.136,0.2,0.2,0.031265,0.031265,0.025637,0.005628000000000001,4.23690376965187,4.23690376965187
0.1368,0.2,0.2,0.030779,0.030779,0.025637,0.005142000000000001,4.25876724893742,4.25876724893742
0.1376,0.2,0.2,0.030287,0.030287,0.025637,0.004650000000000001,4.28108747802188,4.28108747802188
0.1384,0.2,0.2,0.029794,0.029794,0.025637,0.004157000000000001,4.30376080556099,4.30376080556099
0.1392,0.2,0.2,0.029301,0.029301,0.025637,0.0036640000000000006,4.32668558104456,4.32668558104456
0.14,0.2,0.2,0.02881,0.02881,0.025637,0.0031729999999999987,4.34976258502093,4.34976258502093
0.1408,0.2,0.2,0.028324,0.028324,0.025637,0.0026869999999999984,4.37289541556031,4.37289541556031
0.1416,0.2,0.2,0.027845,0.027845,0.025637,0.0022080000000000016,4.3959908300839,4.3959908300839
0.1424,0.2,0.2,0.027374,0.027374,0.025637,0.001736999999999999,4.41895904245099,4.41895904245099
0.1432,0.2,0.2,0.026913,0.026913,0.025637,0.0012759999999999994,4.44171397610153,4.44171397610153
0.144,0.2,0.2,0.026464,0.026464,0.025637,0.0008270000000000013,4.46417347491063,4.46417347491063
0.1448,0.2,0.2,0.026028,0.026028,0.025637,0.000390999999999999,4.48625947414045,4.48625947414045
0.1456,0.2,0.2,0.025605,0.025605,0.025637,-3.200000000000078e-05,4.5078981344376,4.5078981344376
0.1464,0.2,0.2,0.025196,0.025196,0.025637,-0.0004410000000000004,4.52901994220807,4.52901994220807
0.1472,0.2,0.2,0.024803,0.024803,0.025637,-0.0008340000000000014,4.54955977990995,4.54955977990995
0.148,0.2,0.2,0.024427,0.024427,0.025637,-0.0012099999999999993,4.56945696985401,4.56945696985401
0.1488,0.2,0.2,0.024066,0.024066,0.025637,-0.0015709999999999995,4.58865529501307,4.58865529501307
0.1496,0.2,0.2,0.023723,0.023723,0.025637,-0.001913999999999999,4.60710300014,4.60710300014
0.1504,0.2,0.2,0.023397,0.023397,0.025637,-0.002239999999999999,4.62475277620841,4.62475277620841
0.1512,0.2,0.2,0.023089,0.023089,0.025637,-0.0025480000000000017,4.64156173084497,4.64156173084497
0.152,0.2,0.2,0.022798,0.022798,0.025637,-0.0028390000000000012,4.65749134704366,4.65749134704366
0.1528,0.2,0.2,0.022527,0.022527,0.025637,-0.0031100000000000017,4.67250743206254,4.67250743206254
0.1536,0.2,0.2,0.022273,0.022273,0.025637,-0.003363999999999999,4.68658005802263,4.68658005802263
0.1544,0.2,0.2,0.022038,0.022038,0.025637,-0.0035990000000000015,4.69968349537232,4.69968349537232
0.1552,0.2,0.2,0.021822,0.021822,0.025637,-0.003814999999999999,4.71179614006392,4.71179614006392
0.156,0.2,0.2,0.021624,0.021624,0.025637,-0.004012999999999999,4.72290043501927,4.72290043501927
0.1568,0.2,0.2,0.021445,0.021445,0.025637,-0.004192000000000001,4.73298278624475,4.73298278624475
0.1576,0.2,0.2,0.021285,0.021285,0.025637,-0.004352000000000002,4.74203347379348,4.74203347379348
0.1584,0.2,0.2,0.021144,0.021144,0.025637,-0.0044930000000000005,4.7500465576625,4.7500465576625
