Time_s,Current_A,CurrentForModel_A,CoilForce_N,CoilForceForModel_N,WeightLoad_N,NetForce_N,Displacement_mm,DisplacementForModel_mm
0.0,0.0,0.0,-8.5788e-05,-9.5393e-05,0.025637,-0.025722788,-3.70201816545187e-09,-0.004640242611288022
0.0008,0.0,0.005,-0.00010433,0.0023295802500000002,0.025637,-0.02574133,-0.0029289505951851,-0.009223941133608068
0.0016,0.0,0.016,-9.6061e-05,0.0076922642,0.025637,-0.025733061,-0.0109917735366608,-0.014816549941232535
0.0024,0.02,0.036,0.0096045,0.0174876218,0.025637,-0.016032499999999998,-0.0229750367005682,-0.024557913486840742
0.0032,0.06,0.064,0.029143,0.0312778878,0.025637,0.0035059999999999987,-0.0371869851717304,-0.03470887135089054
0.004,0.1,0.1,0.048891,0.0490951,0.025637,0.023253999999999997,-0.0487068214300592,-0.042567247089941015
0.0048,0.14,0.13599999999999998,0.068847,0.0669884,0.025637,0.043210000000000005,-0.0536837399154341,-0.04517102401059588
0.0056,0.18,0.164,0.08899,0.0809426,0.025637,0.06335299999999999,-0.0502836522319132,-0.039471998584812
0.0064,0.2,0.184,0.099071,0.090898,0.025637,0.073434,-0.0359939213038425,-0.02336976196900374
0.0072,0.2,0.196,0.098914,0.09679280000000001,0.025637,0.07327700000000001,-0.008691858042811,0.0043918090183492796
0.008,0.2,0.2,0.098668,0.098567,0.025637,0.07303100000000001,0.0318043616489821,0.04463592008063572
0.0088,0.2,0.2,0.098321,0.0982074,0.025637,0.072684,0.085124115021331,0.09760891089982322
0.0096,0.2,0.2,0.097861,0.0977336,0.025637,0.07222400000000001,0.150936903079519,0.16305335117521863
0.0104,0.2,0.2,0.097273,0.0971328,0.025637,0.071636,0.228871032792095,0.24059216154137902
0.0112,0.2,0.2,0.096545,0.09639139999999999,0.025637,0.070908,0.318530343334166,0.3298350229668638
0.012,0.2,0.2,0.095664,0.09590960000000001,0.025637,0.070027,0.419498413479784,0.4303658647013526
0.0128,0.2,0.2,0.094614,0.0955492,0.025637,0.06897700000000001,0.531338422148755,0.5428231987029444
0.0136,0.2,0.2,0.09545200000000001,0.0948288,0.025637,0.06981500000000002,0.653591111751963,0.6667412990360596
0.0144,0.2,0.2,0.095471,0.0937208,0.025637,0.06983400000000001,0.791157702800054,0.8010441955445948
0.0152,0.2,0.2,0.092943,0.092585,0.025637,0.067306,0.938120844999742,0.9450449039984479
0.016,0.2,0.2,0.090124,0.09082359999999999,0.025637,0.06448699999999999,1.09101289602246,1.0989234991985732
0.0168,0.2,0.2,0.088935,0.0881276,0.025637,0.063298,1.25134196441802,1.2609259377733681
0.0176,0.2,0.2,0.086645,0.0854161,0.025637,0.061008,1.42298408775259,1.429949054485218
0.0184,0.2,0.2,0.081991,0.08291010000000001,0.025637,0.056353999999999994,1.60116989567403,1.606281158229058
0.0192,0.2,0.2,0.0793855,0.07935129999999999,0.025637,0.0537485,1.78323642855899,1.789253209282008
0.02,0.2,0.2,0.077594,0.074963,0.025637,0.051956999999999996,1.97267341474166,1.9770175560358951
0.0208,0.2,0.2,0.071141,0.0710296,0.025637,0.045503999999999996,2.16620221968277,2.1689269954048713
0.0216,0.2,0.2,0.0647035,0.0662973,0.025637,0.0390665,2.361805821522025,2.364401274957261
0.0224,0.2,0.2,0.062324,0.06066689999999999,0.025637,0.036687,2.56071709251891,2.5619865699889712
0.0232,0.2,0.2,0.055724,0.055635500000000004,0.025637,0.030087000000000003,2.76060782632094,2.7606999670738146
0.024,0.2,0.2,0.049442,0.050705,0.025637,0.023805,2.96059988990021,2.959733408757996
0.0248,0.2,0.2,0.045984,0.0453488,0.025637,0.020346999999999997,3.15976920510699,3.158074650356392
0.0256,0.2,0.2,0.040051,0.040843000000000004,0.025637,0.014414000000000003,3.35697302994293,3.354723763536094
0.0264,0.2,0.2,0.035543,0.03671719999999999,0.025637,0.009905999999999998,3.55242330051089,3.5488822051430517
0.0272,0.2,0.2,0.033195,0.0327512,0.025637,0.007558000000000002,3.74385339221945,3.7401364584593795
0.028,0.2,0.2,0.028813,0.029826599999999998,0.025637,0.0031759999999999983,3.931392097935,3.927723951983885
0.0288,0.2,0.2,0.026154,0.027157200000000003,0.025637,0.0005170000000000001,4.116040471688625,4.111027844268882
0.0296,0.2,0.2,0.025428,0.024381000000000003,0.025637,-0.00020900000000000085,4.29491049756546,4.290168883874406
0.0304,0.2,0.2,0.022196,0.0222515,0.025637,-0.0034409999999999996,4.46894276193588,4.464968878491476
0.0312,0.2,0.2,0.019314,0.0206151,0.025637,-0.006322999999999999,4.63955859024707,4.634474031987585
0.032,0.2,0.2,0.0181655,0.018649699999999998,0.025637,-0.007471499999999999,4.805392071020345,4.798722140303991
0.0328,0.2,0.2,0.017972,0.0169085,0.025637,-0.007665000000000002,4.96356623916917,4.957911774175799
0.0336,0.2,0.2,0.015601,0.016017999999999998,0.025637,-0.010036,5.11615103914749,5.111673735294554
0.0344,0.2,0.2,0.01349,0.015689500000000002,0.025637,-0.012147,5.26489093129492,5.2594361715296305
0.0352,0.2,0.2,0.0148615,0.0150195,0.025637,-0.0107755,5.40836839584084,5.401681083333148
0.036,0.2,0.2,0.016523,0.014466699999999999,0.025637,-0.009114,5.54420425219573,5.5388074716300775
0.0368,0.2,0.2,0.014622,0.0142644,0.025637,-0.011015,5.67479079818676,5.670602431431696
0.0376,0.2,0.2,0.012837,0.013757899999999998,0.025637,-0.0128,5.80178298063214,5.7965676386057865
0.0384,0.2,0.2,0.0124785,0.012661500000000001,0.025637,-0.0131585,5.92386573030301,5.917148083113253
0.0392,0.2,0.2,0.012329,0.01170928,0.025637,-0.013308,6.03819443171129,6.032662951084846
0.04,0.2,0.2,0.011041,0.01090136,0.025637,-0.014596,6.14710647473307,6.142349376770808
0.0408,0.2,0.2,0.0098609,0.009966359999999999,0.025637,-0.0157761,6.25236513804472,6.246061737928377
0.0416,0.2,0.2,0.0087974,0.009148159999999999,0.025637,-0.0168396,6.35021510906195,6.3442145896279545
0.0424,0.2,0.2,0.0078035,0.008909900000000002,0.025637,-0.017833500000000002,6.44242753609086,6.436893566531806
0.0432,0.2,0.2,0.008238,0.00875772,0.025637,-0.017398999999999998,6.52895869020917,6.52382691273998
0.044,0.2,0.2,0.0098497,0.00867492,0.025637,-0.0157873,6.61050135925233,6.605826562403027
