Epoch,TrainingLoss,ValidationLoss,TrainingRMSE,ValidationRMSE
1,0.17512901263861833,0.0017527746967971325,0.4261211908676408,0.05920768156647682
2,0.16870245985178786,0.0017797384643927217,0.41439314084974205,0.05966135114431381
3,0.1653452069519765,0.004233751446008682,0.4213021522895856,0.09201903641223907
4,0.1634444170419804,0.007155570201575756,0.4320974140004678,0.11962918192148209
5,0.1618070984682576,0.009168928489089012,0.43813441626050253,0.13541734218597412
6,0.16079267660494556,0.009984406642615795,0.4407680224288594,0.14131104946136475
7,0.16049074195325375,0.010537724941968918,0.44167728247967636,0.14517386257648468
8,0.16019928603517739,0.011030818335711956,0.44247903674840927,0.14853160083293915
9,0.16011333084580573,0.011323672719299793,0.4433150020512668,0.15049034357070923
10,0.1599013076841154,0.01152393501251936,0.4435317570512945,0.1518152505159378
11,0.15988108579238708,0.01164904423058033,0.4439151686700908,0.15263710916042328
12,0.1597179894928228,0.011765054427087307,0.4438192363489758,0.15339526534080505
13,0.1596747929314998,0.011892464943230152,0.4440190853043036,0.15422363579273224
14,0.1595874020237137,0.011866451241075993,0.44401323253458197,0.15405486524105072
15,0.1597184119746089,0.012009887956082821,0.4442982307889245,0.15498314797878265
16,0.15967282741753894,0.012124404311180115,0.44452567534013226,0.1557202935218811
17,0.15949700146236204,0.012243825942277908,0.44470788877118717,0.15648530423641205
18,0.15958360878920014,0.012281435541808605,0.4449798756025054,0.1567254662513733
19,0.15943740083920685,0.012338310480117798,0.44472053105180914,0.15708793699741364
20,0.15950791038234124,0.012385658919811249,0.4449848329479044,0.1573890596628189
21,0.15946865699846635,0.012429987080395222,0.44490683620626276,0.15767046809196472
22,0.15942064791240476,0.012488809414207935,0.44503417814319784,0.15804308652877808
23,0.15934472319416024,0.012551489286124706,0.4450042911551215,0.15843918919563293
24,0.15940576216036623,0.012580943293869495,0.4451593898914077,0.15862499177455902
25,0.15939955654638735,0.012602526694536209,0.44524940848350525,0.15876099467277527
26,0.15938192474740473,0.012617606669664383,0.44530207731507043,0.15885594487190247
27,0.1593520789068531,0.012646466493606567,0.4453046735037457,0.1590375155210495
28,0.15933073464442382,0.012677374295890331,0.4452489099719308,0.1592317521572113
29,0.15927481185644865,0.012727090157568455,0.4451054754582318,0.15954366326332092
30,0.15928755328059196,0.012779554352164268,0.4454041821035472,0.1598721593618393
31,0.15929298610849815,0.0127929812297225,0.4454202191396193,0.15995612740516663
32,0.1592081458815797,0.01282966136932373,0.4453295882452618,0.16018527746200562
33,0.15923811588436365,0.01286880113184452,0.4456029324368997,0.1604294329881668
34,0.15919736493378878,0.01289617083966732,0.4456029683351517,0.160599946975708
35,0.15924870917065578,0.012895007617771626,0.4455273151397705,0.1605927050113678
36,0.1592000232670795,0.012920460663735867,0.4455691007050601,0.1607511192560196
37,0.1591132185421884,0.012960057705640793,0.44535699825395236,0.16099725663661957
38,0.1592231108383699,0.012994503602385521,0.44581773673946207,0.1612110584974289
39,0.15912927158007567,0.01301603764295578,0.4455291818488728,0.16134458780288696
40,0.1592295797203075,0.013012269511818886,0.4459736868739128,0.161321222782135
41,0.1592372368005189,0.012986662797629833,0.44576589289036667,0.16116242110729218
42,0.15911838789047164,0.013015634380280972,0.4456222050569274,0.1613420844078064
43,0.15916813253848391,0.013032495975494385,0.4457355317744342,0.16144655644893646
44,0.1591518687676977,0.013062133453786373,0.44578123363581573,0.1616300344467163
45,0.15914778330955992,0.013084040023386478,0.44574814425273374,0.16176551580429077
46,0.15913530422205274,0.013095376081764698,0.44586374678395013,0.16183556616306305
47,0.15902886725962162,0.012716727331280708,0.44551715728911484,0.15947869420051575
48,0.15928379793397404,0.012873644940555096,0.44524213671684265,0.16045962274074554
49,0.15924960942092267,0.013035088777542114,0.44595534151250665,0.16146261990070343
50,0.15924146559766747,0.01309219654649496,0.4458324380896308,0.16181592643260956
51,0.15915037822824987,0.012998019345104694,0.4459450190717524,0.1612328737974167
52,0.15925944367931646,0.013129279948771,0.44595928625626996,0.1620449274778366
53,0.15913998885926875,0.013183326460421085,0.4459840336983854,0.16237811744213104
54,0.1589960412714969,0.013242914341390133,0.4459093423052268,0.1627446711063385
55,0.15911504829471762,0.013253900222480297,0.44612453200600366,0.16281215846538544
56,0.15904157202352176,0.013008750043809414,0.4460231709209355,0.16129940748214722
57,0.15929584713144737,0.013119903393089771,0.44584483924237167,0.1619870513677597
58,0.15911642834544182,0.01321888156235218,0.44599393619732425,0.1625969409942627
59,0.1590509259311313,0.013279099017381668,0.44610863111235877,0.16296686232089996
60,0.1590400498191064,0.0133150490000844,0.44622981345111673,0.16318731009960175
61,0.15902957210147922,0.013331050984561443,0.4461557153951038,0.16328534483909607
62,0.15903783682733774,0.013341040350496769,0.44606651298024436,0.16334649920463562
63,0.15894270459698004,0.013381851837038994,0.44613313336264004,0.16359615325927734
64,0.15908977706831964,0.013376721180975437,0.44640414687720215,0.1635648012161255
65,0.1590080093169077,0.013362547382712364,0.4463159888982773,0.16347812116146088
66,0.15897444339299743,0.013356663286685944,0.4460698650641875,0.16344211995601654
67,0.15900596900081093,0.01336634811013937,0.4460979625582695,0.16350136697292328
68,0.15898349970071154,0.013386615552008152,0.4461240138519894,0.16362527012825012
69,0.15892786672338843,0.0134201068431139,0.4460226900198243,0.16382983326911926
70,0.1589911332015287,0.0134408725425601,0.4463607296347618,0.16395653784275055
71,0.1589785526421937,0.013444596901535988,0.44623392007567664,0.16397924721240997
72,0.15901153496551243,0.013441227376461029,0.44640726934779773,0.16395869851112366
73,0.15897580731490796,0.013426464051008224,0.44620049270716583,0.16386863589286804
