Epoch,TrainingLoss,ValidationLoss
1,0.47180732311327245,0.9181194715007829
2,0.3345324159423007,0.9123031740018632
3,0.3317845502420317,0.8949213297698103
4,0.3271816304967373,0.7954890854525729
5,0.15633497500344168,0.11968615701577316
6,0.06843404707652104,0.0608124390807158
7,0.04716635945759996,0.0278780878240165
8,0.03700365866475468,0.021670444955816492
9,0.031011473363901997,0.01978104645483351
10,0.03096309720385301,0.017773230370949022
11,0.030724749747145026,0.01668254589215697
12,0.026683940375341646,0.015256545506417751
13,0.028506519532279125,0.01538724617663926
14,0.026567307253710076,0.017996304405338986
15,0.024025496508030198,0.014022028999534086
16,0.02190013248709184,0.013516280356270727
17,0.026274934635037862,0.014408225164515898
18,0.02327890578610233,0.017594607702145975
19,0.021460535936057568,0.014433954595006071
20,0.02204915665420173,0.01758458963255786
