Epoch,TrainingLoss,ValidationLoss
1,0.6129221229613582,0.9725551520823501
2,0.4297373839948751,0.9593925926407488
3,0.41541824008845074,0.9432515785156284
4,0.38092447119423106,0.9233838083988909
5,0.3500440139559251,0.9258862620336004
6,0.3432189370446567,0.9249964028131217
7,0.3496196838685229,0.9219234121907599
8,0.34155936897555483,0.9228670740655313
9,0.33235903593558297,0.9212297445240741
10,0.32132394064830827,0.9200444137653297
11,0.34694193020651615,0.9334313784881184
12,0.34936502434407607,0.9194013123342302
13,0.31298280516757243,0.9171622433883991
14,0.2961927703287028,0.9197151189024831
15,0.32228869063001647,0.9171416370857818
16,0.3205760075133058,0.9216083750701122
17,0.33750356450865543,0.9173668698203983
18,0.32629116539713704,0.9179938182060141
19,0.3328294420166861,0.9179183377758212
20,0.32398579882670053,0.917287202423419
