experiment,disp_rmse_mm,force_rmse_N,disp_fit_percent,force_fit_percent,total_fit_percent,n_full_windows,full_eval_stride
Chirp_1,0.007566077634692192,0.0014595675747841597,98.74906158447266,93.8917007446289,98.72698974609375,9881,1
Chirp_2,0.007899090647697449,0.0006991038681007922,98.40596008300781,92.85882568359375,98.40003967285156,5381,1
