Epoch,TrainingLoss,ValidationLoss
1,0.4951589758260341,0.9142502244406691
2,0.3332501923358893,0.90295630589632
3,0.32932687994045545,0.8632361014242633
4,0.2526997282535215,0.23391008499796348
5,0.09475903029117404,0.10566815625012775
6,0.06366649222902104,0.057947154700135194
7,0.04721748593110073,0.03364915078418562
8,0.03901222833915602,0.026694647351784322
9,0.03309025391464746,0.025487733068681944
10,0.032360910921345784,0.025429134771305446
11,0.03487357395830788,0.01944273392170241
12,0.029612983305808863,0.017426963022444397
13,0.032172839734939084,0.019719661892546963
14,0.031240125964808314,0.01817075275297005
15,0.027353231594720973,0.0202597178479967
16,0.025870618817125317,0.018266310537001118
17,0.030534567158150522,0.015094300307585703
18,0.026420187882937585,0.016084947060638417
19,0.024419611791455294,0.015904709277189493
20,0.025846260670525364,0.017089516414368216
