Evaluation,Kind,Output,Unit,Samples,MSE,RMSE,MAE,MaxAbsError,SignalRange,NRMSE_percent,R2,Fit_percent,ReferenceIsFlat,RMSE_physics_only,R2_physics_only,NetworkHelps
Load2_DCChirp_67mA_31Hz_7s,internal_test,Displacement,mm,1001,0.0001338508034715024,0.011569390799497717,0.009035206718778993,0.03737664222717285,2.3945206236094236,0.48316104214873656,0.999394479847408,97.53926809141673,False,0.030659218085119542,0.9957476425043789,True
Load2_DCChirp_67mA_31Hz_7s,internal_test,Lorentz force,N,1001,1.1341556601757624e-08,0.00010649674455943535,7.762976147078134e-05,0.0003822222352027893,0.024979999288916588,0.4263280528061786,0.9997773437450603,98.50783293515897,False,0.0006503604113278456,0.9916963233418001,True
Load2_DCChirp_87mA_31Hz_7s,internal_test,Displacement,mm,1001,0.0008049160631869047,0.02837104268769311,0.018725528887665637,0.08050167560577393,2.4279200434684753,1.1685328256182126,0.996457260507863,94.04790835744522,False,0.05772082942350951,0.9853359561593934,True
Load2_DCChirp_87mA_31Hz_7s,internal_test,Lorentz force,N,1001,4.3746468459219015e-08,0.00020915656446599763,0.00013884325715509446,0.0009644925594329834,0.024090999737381935,0.8681937933088346,0.9991512387566646,97.08664927731752,False,0.0008008129028938168,0.9875575855027852,True
Load2_DCChirp_107mA_31Hz_7s,internal_test,Displacement,mm,1001,0.0004685605668520008,0.021646259881374447,0.011932994747520671,0.08133512735366821,2.569200038909912,0.8425291745892529,0.9981612547017412,95.71194065076192,False,0.07837611099887068,0.9758941050843087,True
Load2_DCChirp_107mA_31Hz_7s,internal_test,Lorentz force,N,1001,8.752270099847899e-08,0.0002958423583574181,0.00017496620069493304,0.0012431442737579346,0.020514000207185745,1.442148558884137,0.9980598181605167,95.59525047308782,False,0.0008103843251847673,0.9854419305239616,True
Load2_DCChirp_127mA_31Hz_7s,internal_test,Displacement,mm,1001,0.0008014743892798492,0.02831032301616937,0.016695047502573876,0.11311310529708862,2.6538899540901184,1.0667481887309649,0.9971042858971982,94.61881601986912,False,0.07239265104093455,0.9810654497501973,True
Load2_DCChirp_127mA_31Hz_7s,internal_test,Lorentz force,N,1001,2.93066374763425e-07,0.0005413560517472997,0.00026933653475521327,0.002458665519952774,0.021258998662233353,2.5464795419034467,0.9933346239242544,91.83582455128165,False,0.0007977643384812737,0.9855253555888612,True
Load2_DCChirp_107mA_51Hz_11s,internal_test,Displacement,mm,1600,0.0004852920680956668,0.022029345612061806,0.013552410303703936,0.09181198477745056,4.001399993896484,0.550540951808471,0.998747242852861,96.4605690469525,False,0.08328352231898857,0.9820946891446007,True
Load2_DCChirp_107mA_51Hz_11s,internal_test,Lorentz force,N,1600,1.7991659310883853e-07,0.00042416576135850305,0.00019898488651961087,0.00263427197933197,0.03356600180268288,1.2636767520062524,0.9982691473153542,95.83964823044273,False,0.0008161762610774957,0.9935914938539243,True
