dataset,evaluation,output,unit,MSE,RMSE,MAE,R2,fit_percent
147mA,Persistence baseline,Displacement,mm,9.95692316791974e-05,0.009978438338697965,0.0068664257414639,0.9992720518815553,97.3019478573851
147mA,Persistence baseline,Lorentz force,N,1.6014296022603958e-07,0.00040017866038313387,0.0002993859816342592,0.9968241120744699,94.36449787539665
147mA,Series,Displacement,mm,0.27949655055999756,0.52867433317686,0.46210289001464844,-1.0433922059108403,-42.9472854456689
147mA,Series,Lorentz force,N,2.466719161020592e-05,0.004966607656157865,0.0036351990420371294,0.510810631522332,30.05792067078804
147mA,Series-parallel,Displacement,mm,6.761991244275123e-05,0.008223132763293515,0.006176350172609091,0.9995056325323823,97.77656203135415
147mA,Series-parallel,Lorentz force,N,3.410410087667515e-08,0.000184672956538512,0.0001344148040516302,0.9993236618056831,97.39934970779623
147mA,Parallel,Displacement,mm,85055.109375,291.642091226558,238.9131317138672,-621834.7520684547,-78756.56795363691
147mA,Parallel,Lorentz force,N,58.929134368896484,7.676531402195687,6.498286247253418,-1168656.794472949,-108004.46737725922
