Epoch,TrainingLoss,ValidationLoss
1,0.47235707882084427,0.9149248656346268
2,0.3309540461890305,0.9065676527728405
3,0.3247010070311872,0.8510212292264138
4,0.19601469736876367,0.12971474876394495
5,0.07062966930621033,0.056315791409967154
6,0.05245780272857298,0.02974363817338599
7,0.03959565706362453,0.021930887492392987
8,0.03470971852635281,0.021029335856534697
9,0.028819265551393546,0.018157376315987978
10,0.02861958454492726,0.016821832556161098
11,0.02884968526991485,0.015093800204340369
12,0.025236081379123882,0.01754721929319203
13,0.027904123621933823,0.014793613847965995
14,0.02622027116344322,0.018660402167976525
15,0.023338879529339603,0.016662211167082813
16,0.02188856408141459,0.01356601799003935
17,0.026080520599608935,0.013922912398508439
18,0.022944527477780474,0.01392155590171266
19,0.021680739448889146,0.01442127949121641
20,0.021488148471505583,0.01356535051187772
