Series,Output,Unit,MSE,RMSE,MAE,R2,Fit_percent
DC_Offset_127mA,Displacement,mm,0.012044958770275116,0.10974952742620406,0.07044222950935364,0.9184607499714328,71.44492071988414
DC_Offset_127mA,Lorentz force,N,2.065086846414488e-06,0.0014370410037345795,0.0011124990414828062,0.9479281513998231,77.18074454520686
