Epoch,TrainingLoss,ValidationLoss,TrainingRMSE,ValidationRMSE,LearningRate
1,0.9788088798522949,0.592035174369812,0.9892236259248521,0.7694382071495056,0.001
2,0.8728819357024299,0.46848320960998535,0.9339048994912041,0.684458315372467,0.001
3,0.7166141801410251,0.28103822469711304,0.8456952042049832,0.5301303863525391,0.001
4,0.5241369009017944,0.1117740273475647,0.7210080822308859,0.33432623744010925,0.001
5,0.4284249544143677,0.06894107162952423,0.6538711190223694,0.26256632804870605,0.001
6,0.4147762093279097,0.056296493858098984,0.6424183315700955,0.2372688204050064,0.001
7,0.3982705805036757,0.05283476039767265,0.630415505833096,0.2298581302165985,0.001
8,0.38492148121198017,0.04113464057445526,0.6189918186929491,0.20281676948070526,0.001
9,0.37347332967652214,0.03330279886722565,0.6103586090935601,0.1824905425310135,0.001
10,0.36594557762145996,0.02785518206655979,0.603618217839135,0.166898712515831,0.001
11,0.35797186030281913,0.02379584312438965,0.5977409879366556,0.15425901114940643,0.001
12,0.33980393078592086,0.022891828790307045,0.5819554991192288,0.15130046010017395,0.001
13,0.2965315365129047,0.027248771861195564,0.5428502096070184,0.1650720238685608,0.001
14,0.24694033132659066,0.029002990573644638,0.4947240087721083,0.1703026443719864,0.001
15,0.20889532897207472,0.028520582243800163,0.4546317954858144,0.1688803732395172,0.001
16,0.18786421087053087,0.026837512850761414,0.4325649407174852,0.16382159292697906,0.001
17,0.16962956885496774,0.02363467775285244,0.41091034147474503,0.15373574197292328,0.001
18,0.15542560981379616,0.022383535280823708,0.3929148117701213,0.14961127936840057,0.001
19,0.14394938283496433,0.023527465760707855,0.3787885672516293,0.153386652469635,0.001
20,0.13916589319705963,0.022036287933588028,0.3716755012671153,0.1484462469816208,0.001
21,0.1224217414855957,0.02145131677389145,0.3495191170109643,0.14646267890930176,0.001
22,0.1156559321615431,0.018610231578350067,0.33936452203326756,0.13641932606697083,0.001
23,0.10685043368074629,0.017827285453677177,0.32667654752731323,0.13351885974407196,0.001
24,0.09740251054366429,0.01702456921339035,0.3118153280682034,0.13047823309898376,0.001
25,0.08372059050533506,0.014625022187829018,0.2887326015366448,0.12093395739793777,0.001
26,0.07105398550629616,0.018033716827630997,0.26627225014898515,0.1342896819114685,0.001
27,0.06818223868807156,0.01584109105169773,0.2609307501051161,0.12586139142513275,0.001
28,0.06869643595483568,0.019887138158082962,0.26091280910703873,0.1410217583179474,0.001
29,0.06124836082259814,0.01605997234582901,0.24683969716231027,0.12672795355319977,0.001
30,0.06276645097467634,0.018662959337234497,0.2481540391842524,0.1366124451160431,0.001
31,0.04934712913301256,0.01650427095592022,0.22194067305988735,0.12846894562244415,0.001
32,0.04685169913702541,0.016693271696567535,0.21594959166314867,0.1292024403810501,0.001
33,0.0447978712618351,0.014722449705004692,0.21146918833255768,0.12133610248565674,0.001
34,0.04329879374967681,0.01761256344616413,0.20745738016234505,0.13271233439445496,0.001
35,0.04364488853348626,0.015716146677732468,0.2085594998465644,0.1253640502691269,0.001
36,0.04196352221899562,0.01930410787463188,0.20420224799050224,0.13893921673297882,0.001
37,0.037255053925845355,0.01578531786799431,0.19280564619435203,0.1256396323442459,0.001
38,0.03702046867046091,0.016339000314474106,0.1918902016348309,0.1278240978717804,0.001
39,0.04033203754160139,0.014251305721700191,0.19957166579034594,0.11937883496284485,0.001
40,0.03704186094303926,0.015211406163871288,0.19032624695036146,0.12333452701568604,0.001
41,0.0324116355429093,0.014829641208052635,0.17960627542601693,0.1217770129442215,0.001
