Epoch,TrainingLoss,ValidationLoss
1,0.4619625154175336,0.9151954165718053
2,0.3303955291645436,0.9064930882595945
3,0.32279817477057254,0.8497719024065494
4,0.20940102353880677,0.155977262329543
5,0.07405901040080227,0.07316942041506991
6,0.054801228609454786,0.03660068539708542
7,0.04240959712976142,0.025007877447933424
8,0.0355092187093783,0.023036843464069534
9,0.030877905296562595,0.01982120335257302
10,0.030200160214606718,0.01771410983201349
11,0.03136041838251337,0.018410650440879788
12,0.02717649359020251,0.015515568467283932
13,0.02900187326948854,0.015854794561164454
14,0.027303878901691378,0.015627112322060082
15,0.023905683002328572,0.01358342673969067
16,0.022165141227549014,0.01309088055374256
17,0.02663357143254974,0.012542773843354857
18,0.023133775814660366,0.01755613250376579
19,0.02230998123937015,0.014553383977424042
20,0.021871319123178343,0.013068950446419573
