Epoch,TrainingLoss,ValidationLoss
1,0.48785969596120377,0.9231725479985471
2,0.3459817435168013,0.9242019982969699
3,0.34905957157098794,0.9230022873283209
4,0.35681307164928583,0.9212472279541544
5,0.33783644720723355,0.9208848047189045
6,0.335249071351335,0.9207306063957125
7,0.3425103995618941,0.920889000655734
8,0.33538684069733077,0.920325405675006
9,0.32509569201288346,0.9192540785855575
10,0.3149543301780013,0.9186109199314766
11,0.34156640949128547,0.9183825089712627
12,0.34337152540683746,0.9182902464526705
13,0.30958938315699375,0.9174927674054439
14,0.2919577988265436,0.9172736969727945
15,0.32120403395140473,0.9176126789388945
16,0.31593971510853947,0.9167850105538188
17,0.33245366113849834,0.9166539719638725
18,0.32280848844896387,0.9162848910855246
19,0.3300343723614005,0.9159752810786207
20,0.3209731184606311,0.9160705439256466
