Epoch,TrainingLoss,ValidationLoss
1,0.545564422879038,0.960144441506903
2,0.4088369081669216,0.9387795310661508
3,0.36525785328843924,0.9226522245856662
4,0.35876212938676905,0.9230735805952767
5,0.3404059381801871,0.9212053551576295
6,0.3356146814796743,0.9212320643728162
7,0.3436839002408559,0.9215460837440332
8,0.3362235987110983,0.9228880274361776
9,0.32713097560254834,0.92121805161878
10,0.3184546130367472,0.9191668468217055
11,0.34426982229269004,0.9187387604397372
12,0.3468823740376702,0.9198189025822406
13,0.3127273092918758,0.9175462643264231
14,0.2950960708947121,0.9190883259143448
15,0.3209570261024976,0.9171214725514195
16,0.3204567697417887,0.9189929410834642
17,0.3368387388277657,0.9167198300807892
18,0.32691618686989893,0.9167978508703527
19,0.3325094471249399,0.9154570402242825
20,0.32636872801599626,0.9163806312620485
