structure,stage,epoch,teacher_forcing_ratio,training_normalized_mse,validation_normalized_mse
series,series,1,0.0,0.9252660928350507,0.7605334086851641
series,series,2,0.0,0.5122625624892687,0.2981777649280454
series,series,3,0.0,0.32368357410334575,0.24918029377283143
series,series,4,0.0,0.2470299622326186,0.18724529297391246
series,series,5,0.0,0.20520160977888588,0.15565080109460294
series,series,6,0.0,0.17271283961305714,0.16006642469197266
series,series,7,0.0,0.1542811042431629,0.14719419593899702
series,series,8,0.0,0.14069282251476037,0.13705167820877281
series,series,9,0.0,0.132965168657929,0.13797910225169718
series,series,10,0.0,0.12016843620574835,0.14601827043393426
series,series,11,0.0,0.11395990929820321,0.10910432173077725
series,series,12,0.0,0.10174645272770313,0.10544220370448325
series,series,13,0.0,0.09698311463750973,0.09020836268020563
series,series,14,0.0,0.0865046745147368,0.0831160746083772
series,series,15,0.0,0.08289298996178791,0.0815013336587297
series_parallel,series_parallel,1,1.0,0.008153509312177622,0.001788651774645098
series_parallel,series_parallel,2,1.0,0.000851033209714888,0.00036641661691564053
series_parallel,series_parallel,3,1.0,0.0003048488275839411,0.00014580161554146218
series_parallel,series_parallel,4,1.0,0.00023179034407913799,9.214524470735341e-05
series_parallel,series_parallel,5,1.0,0.000210616487663973,8.562360209516781e-05
series_parallel,series_parallel,6,1.0,0.00020014125709139714,8.112502046586553e-05
series_parallel,series_parallel,7,1.0,0.00020213806813563964,8.123343981093389e-05
series_parallel,series_parallel,8,1.0,0.00020017822851036497,8.209036785362612e-05
series_parallel,series_parallel,9,1.0,0.0002028831222854235,7.627941805134288e-05
series_parallel,series_parallel,10,1.0,0.00019681470843756365,7.909699643804299e-05
series_parallel,series_parallel,11,1.0,0.0002001826295680884,7.546766423466346e-05
series_parallel,series_parallel,12,1.0,0.00019586737575762048,7.521529602125471e-05
series_parallel,series_parallel,13,1.0,0.00019465270372827283,7.413723524072985e-05
series_parallel,series_parallel,14,1.0,0.00019383375471777688,7.427818722631359e-05
series_parallel,series_parallel,15,1.0,0.000195277155749735,7.364501875261429e-05
parallel,parallel,1,0.9,0.00012721627913728857,0.03698215517215431
parallel,parallel,2,0.7857142857142857,0.000175608412134282,0.03702946309931576
parallel,parallel,3,0.6714285714285715,0.0002780474370900685,0.036660651210695505
parallel,parallel,4,0.5571428571428572,0.0003678578079696028,0.036217958899214864
parallel,parallel,5,0.44285714285714284,0.0006334250009296319,0.0345099694095552
parallel,parallel,6,0.3285714285714286,0.0011600642062078875,0.034410334192216396
parallel,parallel,7,0.2142857142857142,0.0025237839077957547,0.03622577106580138
parallel,parallel,8,0.09999999999999998,0.007791541695881348,0.035409318981692195
