Epoch,TrainingLoss,ValidationLoss
1,0.4721954676169383,0.9164478831868715
2,0.33290716156929356,0.9093630886588168
3,0.33029517965226235,0.88187909629778
4,0.2868654153580907,0.28182414929324295
5,0.09820785316862637,0.09022687087902644
6,0.06109996974656853,0.046786420350448076
7,0.04307846977269348,0.02845929924903127
8,0.03596392717165283,0.023405914408310007
9,0.029899467985275426,0.024065932260176243
10,0.03092151302608508,0.018791553791137023
11,0.03275064006447792,0.017631896493791526
12,0.027901898810191998,0.020662523568413842
13,0.030958805091773407,0.014794185602416595
14,0.030056927588921558,0.018101809388705686
15,0.025650287730784357,0.015853141706126433
16,0.023740727595890625,0.014594462518895549
17,0.028521948883050603,0.014269787017838098
18,0.02500583720688201,0.01627657385688508
19,0.023659327397523803,0.013796409374966364
20,0.024232013846594323,0.015167005107893297
