Time_s,Current_A,CoilForce_N,WeightLoad_N,NetForce_N,Displacement_mm
0.0656,0.2,0.0076444,0.025637,-0.0179926,7.15344940993166
0.0664,0.2,0.0079322,0.025637,-0.0177048,7.12385359160737
0.0672,0.2,0.0082557,0.025637,-0.0173813,7.09160473511781
0.068,0.2,0.0086163,0.025637,-0.0170207,7.05682732128392
0.0688,0.2,0.0090153,0.025637,-0.0166217,7.0196499054102
0.0696,0.2,0.0094535,0.025637,-0.0161835,6.98020523096372
0.0704,0.2,0.0099311,0.025637,-0.0157059,6.93863026829414
0.0712,0.2,0.010448,0.025637,-0.015189,6.89506614252242
0.072,0.2,0.011002,0.025637,-0.014635,6.84965791629144
0.0728,0.2,0.011591,0.025637,-0.014046,6.80255419925213
0.0736,0.2,0.012212,0.025637,-0.013425,6.75390656775022
0.0744,0.2,0.012859,0.025637,-0.012778,6.70386879499297
0.0752,0.2,0.013527,0.025637,-0.01211,6.65259591228151
0.076,0.2,0.01421,0.025637,-0.011427,6.60024314227106
0.0768,0.2,0.014901,0.025637,-0.010736,6.54696476121741
0.0776,0.2,0.015594,0.025637,-0.010043,6.49291295473796
0.0784,0.2,0.015312,0.025637,-0.010325,6.43823672874343
0.0792,0.2,0.011088,0.025637,-0.014549,6.38180913501756
0.08,0.2,0.011788,0.025637,-0.013849,6.32410745518627
0.0808,0.2,0.012532,0.025637,-0.013105,6.26563221284843
0.0816,0.2,0.013327,0.025637,-0.01231,6.20584157173783
0.0824,0.2,0.014164,0.025637,-0.011473,6.14530106343568
0.0832,0.2,0.015039,0.025637,-0.010598,6.08419228841933
0.084,0.2,0.015944,0.025637,-0.009693,6.0226983541892
0.0848,0.2,0.016872,0.025637,-0.008765,5.96100229792105
0.0856,0.2,0.017813,0.025637,-0.007824,5.89928537110983
0.0864,0.2,0.0177,0.025637,-0.007937,5.83772530892178
0.0872,0.2,0.015052,0.025637,-0.010585,5.7756233595037
0.088,0.2,0.015959,0.025637,-0.009678,5.71316241769433
0.0888,0.2,0.016888,0.025637,-0.008749,5.65054395378672
0.0896,0.2,0.017836,0.025637,-0.007801,5.58785360781027
0.0904,0.2,0.018796,0.025637,-0.006841,5.5253499738496
0.0912,0.2,0.019762,0.025637,-0.005875,5.46320984706712
0.092,0.2,0.020728,0.025637,-0.004909,5.40160588397708
0.0928,0.2,0.021688,0.025637,-0.003949,5.34070554843933
0.0936,0.2,0.022637,0.025637,-0.003,5.28067017460737
0.0944,0.2,0.023568,0.025637,-0.002069,5.22165418969177
0.0952,0.2,0.0229665,0.025637,-0.0026705,5.16380450876188
0.096,0.2,0.020243,0.025637,-0.005394,5.10629938370036
0.0968,0.2,0.021177,0.025637,-0.00446,5.04930595910615
0.0976,0.2,0.022131,0.025637,-0.003506,4.99272837084113
0.0984,0.2,0.023088,0.025637,-0.002549,4.93720210447337
0.0992,0.2,0.024046,0.025637,-0.001591,4.88267916953122
0.1,0.2,0.024999,0.025637,-0.000638,4.82931459314365
0.1008,0.2,0.025938,0.025637,0.000300999999999999,4.77725738737011
0.1016,0.2,0.026859,0.025637,0.001222,4.72664956959686
0.1024,0.2,0.027756,0.025637,0.002119,4.6776253460308
0.1032,0.2,0.028624,0.025637,0.002987,4.63031046881751
0.104,0.2,0.029461,0.025637,0.003824,4.58482176086247
0.1048,0.2,0.030263,0.025637,0.004626,4.54126678997942
0.1056,0.2,0.030152,0.025637,0.004515,4.49974366676023
0.1064,0.2,0.026561,0.025637,0.000924000000000001,4.45936713636438
0.1072,0.2,0.027349,0.025637,0.001712,4.42025804629284
0.108,0.2,0.028134,0.025637,0.002497,4.38204661435952
0.1088,0.2,0.028895,0.025637,0.003258,4.34578018087032
0.1096,0.2,0.029636,0.025637,0.003999,4.31111376231118
0.1104,0.2,0.030353,0.025637,0.004716,4.27814426528441
0.1112,0.2,0.031041,0.025637,0.005404,4.24696105476473
0.112,0.2,0.031698,0.025637,0.006061,4.21764539219244
0.1128,0.2,0.032319,0.025637,0.006682,4.19026993204998
0.1136,0.2,0.032901,0.025637,0.007264,4.16489829058061
0.1144,0.2,0.03344,0.025637,0.007803,4.14158469594225
0.1152,0.2,0.033935,0.025637,0.008298,4.12037372487684
0.116,0.2,0.034384,0.025637,0.008747,4.10130012727567
0.1168,0.2,0.034783,0.025637,0.009146,4.08438873704884
0.1176,0.2,0.035133,0.025637,0.009496,4.06965446553092
0.1184,0.2,0.035432,0.025637,0.009795,4.05710237223305
0.1192,0.2,0.03568,0.025637,0.010043,4.04672780696996
