Epoch,TrainingLoss,ValidationLoss
1,0.47441083871865575,0.9152773597791869
2,0.3313869860353349,0.9058141703474879
3,0.32480911401253715,0.8632905048458875
4,0.24144834694983083,0.17334290734531047
5,0.07505848527520517,0.07790207637784381
6,0.05470440230226215,0.04803835539496504
7,0.041790201033972484,0.028630101192296326
8,0.03752471105773238,0.02424638336136316
9,0.03157944791018963,0.023275366717522655
10,0.030005382810118077,0.018803005616064183
11,0.030632691351767584,0.016669103591993917
12,0.027606992557927777,0.02031268275459297
13,0.029115233924004096,0.014166232209390728
14,0.026768811365377298,0.022784870787290856
15,0.024552668515545658,0.015226295123284217
16,0.02276511306438265,0.014177844677760731
17,0.027078531906480276,0.015199936940916814
18,0.02349518139292545,0.01486457347527903
