Evaluation,Kind,Output,Unit,Samples,MSE,RMSE,MAE,MaxAbsError,SignalRange,NRMSE_percent,R2,Fit_percent,ReferenceIsFlat,RMSE_physics_only,R2_physics_only,NetworkHelps
Load2_DCChirp_67mA_31Hz_7s,internal_test,Displacement,mm,1001,0.00038278532286120805,0.019564900277313148,0.011432401807977586,0.0649862289428711,2.3945206236094236,0.817069608188283,0.9982683389184269,95.83867679508896,False,0.04856672665253043,0.9893294873230387,True
Load2_DCChirp_67mA_31Hz_7s,internal_test,Lorentz force,N,1001,2.511253200560664e-08,0.0001584693409010293,0.00012695443231266337,0.0005294978618621826,0.024979999288916588,0.634384889559788,0.9995069933938738,97.77962479268452,False,0.000861295980946366,0.9854364558470018,True
Load2_DCChirp_87mA_31Hz_7s,internal_test,Displacement,mm,1001,0.0005348262865266198,0.02312631156338208,0.014776874446241138,0.06969475746154785,2.4279200434684753,0.9525153690952821,0.9976460275880084,95.148224642472,False,0.06388372078047937,0.9820374069942351,True
Load2_DCChirp_87mA_31Hz_7s,internal_test,Lorentz force,N,1001,5.276267551913277e-08,0.00022970127452657456,0.0001702568122556993,0.000984739512205124,0.024090999737381935,0.9534734009819765,0.9989763079020408,96.8004811331089,False,0.0011020978179821098,0.9764341653503541,True
Load2_DCChirp_107mA_31Hz_7s,internal_test,Displacement,mm,1001,0.000507091000303933,0.022518681140420566,0.011816414615644567,0.08956843614578247,2.569200038909912,0.8764860968153743,0.9980100519365883,95.53911660832557,False,0.07737020569674377,0.9765089006420241,True
Load2_DCChirp_107mA_31Hz_7s,internal_test,Lorentz force,N,1001,1.19595786650327e-07,0.0003458262376545871,0.00019757193955150876,0.0016334168612957,0.020514000207185745,1.6858059576963902,0.9973488298385385,94.8510484936625,False,0.0008991025942938433,0.9820799084108219,True
Load2_DCChirp_127mA_31Hz_7s,internal_test,Displacement,mm,1001,0.0005787292968743162,0.02405679315441516,0.014414838665255081,0.0932164192199707,2.6538899540901184,0.9064728971651348,0.9979090603404442,95.42732063276269,False,0.09271550726857058,0.9689421928041387,True
Load2_DCChirp_127mA_31Hz_7s,internal_test,Lorentz force,N,1001,1.8337015030362928e-07,0.0004282174100893485,0.00021950136144439894,0.0021082907915115356,0.021258998662233353,2.0142877700541817,0.9958295078586674,93.54206523621326,False,0.0009855147529630594,0.9779105488033143,True
Load2_DCChirp_107mA_51Hz_11s,internal_test,Displacement,mm,1600,0.0003166410418894988,0.017794410411404442,0.011232019034667928,0.07243812084197998,4.001399993896484,0.44470461434865444,0.9991826070228982,97.14099147062858,False,0.07988411443991053,0.9835265505930636,True
Load2_DCChirp_107mA_51Hz_11s,internal_test,Lorentz force,N,1600,1.0804836201222523e-07,0.0003287071067260719,0.0001721283420920372,0.0017088577151298523,0.03356600180268288,0.9792858519712015,0.9989605416919644,96.77593686780855,False,0.0007124915661277182,0.9951163071383311,True
ALL_internal_test_blocks,internal_test_pooled,Displacement,mm,5604,0.00044826213620286214,0.021172201968686726,0.012573911589756098,0.0932164192199707,4.329499959945679,0.4890218769964458,0.999259319247579,97.27845493805277,False,0.07467936182474731,0.990784896897266,True
ALL_internal_test_blocks,internal_test_pooled,Lorentz force,N,5604,9.887569080497231e-08,0.0003144450521235345,0.00017673165326689415,0.0021082907915115356,0.0537129994481802,0.5854170412264846,0.9993550807574457,97.46047397620295,False,0.0009012682412314896,0.9947018537799414,True
Load3_DCSine_200mA_1.6s,pure_test,Displacement,mm,1601,0.016314095817109613,0.12772664489882138,0.10431137509740251,0.38257044553756714,0.7932109832763672,16.102480625173012,0.0926008949132675,4.742501340485939,False,0.12700168491575273,0.10287222344886704,False
Load3_DCSine_200mA_1.6s,pure_test,Lorentz force,N,1601,3.7149682411523494e-06,0.0019274252880857273,0.0014835609725129231,0.008921623229980469,0.19745122449239716,0.976152613406529,0.9991850250153804,97.14522332814003,False,0.0019179015957000577,0.9991930589408147,False
Load3_Step_200mA_1.6s,pure_test,Displacement,mm,1601,0.02421528896651059,0.1556126247015665,0.13698375112859604,0.4810498170554638,1.4572499692440033,10.678512814263136,0.023350423002531873,1.174417431645347,False,0.17598864422252122,-0.24916095646326397,True
Load3_Step_200mA_1.6s,pure_test,Lorentz force,N,1601,4.838504573595829e-06,0.002199660104106048,0.0020547476639100697,0.00671154260635376,0.0976483882454886,2.2526332934201534,0.7754299612464312,52.61117866484027,False,0.002004587521053905,0.8134949039384699,False
Load2_DCChirp_147mA_31Hz_7s,pure_test,Displacement,mm,7001,0.005856380789806512,0.076526993863646,0.06685547515946688,0.262470006942749,2.7075500190258026,2.8264295516572213,0.9593538898093782,79.83911951560106,False,0.10215643212560051,0.9275695612680319,True
Load2_DCChirp_147mA_31Hz_7s,pure_test,Lorentz force,N,7001,9.114890634021601e-07,0.000954719363688702,0.0006918730856301674,0.005915656685829163,0.07994480853085406,1.194223091197017,0.9825893488945796,86.80505736828674,False,0.0013164096284025662,0.9668986542273246,True
Load2_Step_150mA_0.8s,pure_test,Displacement,mm,801,0.006362274639786061,0.07976386800918109,0.06438770606213491,0.23391079902648926,2.299999952316284,3.467994333167376,0.9408586978550064,75.68101520519544,False,0.12386668359976058,0.8573776822089562,True
Load2_Step_150mA_0.8s,pure_test,Lorentz force,N,801,3.5143841787725095e-06,0.001874669085138097,0.0014408465824871665,0.005608983337879181,0.07252966254009152,2.5846929648981263,0.8806558769988785,65.45378124872109,False,0.0017971344901870014,0.8903236571335134,False
Load2_ZeroInput_0.8s,pure_test,Displacement,mm,801,0.0007004124782067278,0.0264653070680604,0.020791572943283782,0.06994342803955078,4.3404002001356226,0.6097434763557852,0.9974252271486479,94.92577803860328,False,0.024674910705447892,0.9977618137365837,False
Load2_ZeroInput_0.8s,pure_test,Lorentz force,N,801,2.436107753495464e-09,4.935694230293712e-05,4.3244062952891673e-05,0.00027936999686062336,0.00040909000381361693,,,,True,4.935677269335697e-05,,False
