Time_s,Current_A,TrueDisplacement_mm,PredictedDisplacement_mm,DisplacementError_mm,TrueCoilForce_N,PredictedCoilForce_N,CoilForceError_N,IsTrainingSample,IsTestingSample
0.0,0.0,-3.70201816545187e-09,0.05504340433335031,-0.055043408035368474,-8.5788e-05,0.0012682042204732076,-0.0013539922204732077,True,False
0.0008,0.0,-0.0029289505951851,-0.08808801865084614,0.08515906805566105,-0.00010433,-0.0024671105023991585,0.0023627805023991584,True,False
0.0016,0.0,-0.0109917735366608,0.06316588310757876,-0.07415765664423955,-9.6061e-05,0.000571517028353806,-0.000667578028353806,True,False
0.0024,0.02,-0.0229750367005682,-0.07731200692893658,0.05433697022836838,0.0096045,0.011190577525559697,-0.0015860775255596964,True,False
0.0032,0.06,-0.0371869851717304,-0.04215053216594811,0.004963546994217707,0.029143,0.02838814401176836,0.0007548559882316376,True,False
0.004,0.1,-0.0487068214300592,-0.04046431292731967,-0.008242508502739533,0.048891,0.04813694282325191,0.0007540571767480839,True,False
0.0048,0.14,-0.0536837399154341,-0.04249952943406754,-0.011184210481366558,0.068847,0.06989760813297756,-0.001050608132977554,True,False
0.0056,0.18,-0.0502836522319132,-0.034926144502137824,-0.015357507729775378,0.08899,0.08847935723808839,0.0005106427619116088,True,False
0.0064,0.2,-0.0359939213038425,-0.02049683803038338,-0.015497083273459118,0.099071,0.09770503134601896,0.001365968653981045,True,False
0.0072,0.2,-0.008691858042811,-0.02562435781053729,0.01693249976772629,0.098914,0.09897733821120716,-6.333821120715899e-05,True,False
0.008,0.2,0.0318043616489821,0.025449661813711444,0.006354699835270657,0.098668,0.09918944756164277,-0.0005214475616427683,True,False
0.0088,0.2,0.085124115021331,0.09110152806928529,-0.00597741304795428,0.098321,0.09885915190091771,-0.0005381519009177022,True,False
0.0096,0.2,0.150936903079519,0.16524433922307136,-0.014307436143552343,0.097861,0.09835417204537741,-0.0004931720453774102,True,False
0.0104,0.2,0.228871032792095,0.25216556997803785,-0.02329453718594285,0.097273,0.09765262827030832,-0.00037962827030832424,True,False
0.0112,0.2,0.318530343334166,0.3369322473504841,-0.018401904016318082,0.096545,0.09695248581040941,-0.00040748581040940535,True,False
0.012,0.2,0.419498413479784,0.42362309664436726,-0.004124683164583254,0.095664,0.0962475631632477,-0.0005835631632477023,True,False
0.0128,0.2,0.531338422148755,0.5187147572444903,0.012623664904264698,0.094614,0.09550298460640955,-0.000888984606409543,True,False
0.0136,0.2,0.653591111751963,0.6279343175848107,0.025656794167152386,0.09545200000000001,0.09466833335204242,0.0007836666479575927,True,False
0.0144,0.2,0.791157702800054,0.7530094583562641,0.03814824444378995,0.095471,0.09368773141205097,0.0017832685879490273,True,False
0.0152,0.2,0.938120844999742,0.9168182484077749,0.021302596591967093,0.092943,0.09234138621263646,0.0006016137873635363,True,False
0.016,0.2,1.09101289602246,1.1010974587994302,-0.010084562776970118,0.090124,0.09064565952718806,-0.0005216595271880647,True,False
0.0168,0.2,1.25134196441802,1.27552506758845,-0.024183103170430043,0.088935,0.08856167249930133,0.0003733275006986697,True,False
0.0176,0.2,1.42298408775259,1.4434313307310478,-0.02044724297845768,0.086645,0.08602590320672816,0.0006190967932718366,True,False
0.0184,0.2,1.60116989567403,1.6097086995995116,-0.008538803925481675,0.081991,0.08320651820082862,-0.0012155182008286303,True,False
0.0192,0.2,1.78323642855899,1.7774137845648261,0.0058226439941637675,0.0793855,0.07997298126285063,-0.000587481262850631,True,False
0.02,0.2,1.97267341474166,1.9530430544020283,0.019630360339631725,0.077594,0.07613528540593092,0.0014587145940690716,True,False
0.0208,0.2,2.16620221968277,2.142859712150129,0.023342507532640777,0.071141,0.07156274161994376,-0.00042174161994376624,True,False
0.0216,0.2,2.361805821522025,2.347510195930759,0.01429562559126607,0.0647035,0.06634139327562029,-0.0016378932756202919,True,False
0.0224,0.2,2.56071709251891,2.5604857788003716,0.00023131371853857274,0.062324,0.06079169190375161,0.0015323080962483873,True,False
0.0232,0.2,2.76060782632094,2.772954450348729,-0.012346624027788966,0.055724,0.055274524180811094,0.00044947581918890894,True,False
0.024,0.2,2.96059988990021,2.9791966933635994,-0.01859680346338921,0.049442,0.05000902349495666,-0.0005670234949566588,True,False
0.0248,0.2,3.15976920510699,3.176989903600525,-0.017220698493535025,0.045984,0.04508695307113059,0.0008970469288694105,True,False
0.0256,0.2,3.35697302994293,3.36533612192918,-0.008363091986250293,0.040051,0.0405589850770529,-0.0005079850770528943,True,False
0.0264,0.2,3.55242330051089,3.54318655387337,0.009236746637520277,0.035543,0.03646250974460147,-0.0009195097446014697,True,False
0.0272,0.2,3.74385339221945,3.7285649434191344,0.015288448800315546,0.033195,0.032737958082639185,0.00045704191736081756,True,False
0.028,0.2,3.931392097935,3.9337030499323373,-0.0023109519973374404,0.028813,0.02941628589631904,-0.0006032858963190418,True,False
0.0288,0.2,4.116040471688625,4.126639591832988,-0.010599120144362928,0.026154,0.026543149976519437,-0.0003891499765194366,True,False
0.0296,0.2,4.29491049756546,4.301940189527061,-0.007029691961601081,0.025428,0.024045461751106636,0.0013825382488933634,True,False
0.0304,0.2,4.46894276193588,4.461277181680021,0.007665580255858728,0.022196,0.021871576371561962,0.0003244236284380385,True,False
0.0312,0.2,4.63955859024707,4.614416858449702,0.025141731797368116,0.019314,0.02001864482444942,-0.0007046448244494193,True,False
