dataset,evaluation,output,unit,MSE,RMSE,MAE,R2,fit_percent
147mA,Series,Displacement,mm,0.30252155661582947,0.550019596574367,0.4938375651836395,-1.1967137927501477,-48.21316625334797
147mA,Series,Lorentz force,N,1.7329508409602568e-05,0.004162872615106373,0.0031207571737468243,0.6566522832858465,41.40411534071
147mA,Series-parallel,Displacement,mm,7.07424187567085e-05,0.008410851250421,0.006539667025208473,0.9994863147984508,97.73353725983195
147mA,Series-parallel,Lorentz force,N,3.56669538348342e-08,0.00018885696660392014,0.00013877144374419004,0.9992933343640772,97.34168181153595
147mA,Parallel,Displacement,mm,99330.875,315.16801074982214,260.64404296875,-721274.8351460804,-84827.96339931634
147mA,Parallel,Lorentz force,N,47.659305572509766,6.903571943024116,5.915428638458252,-944267.8361360702,-97073.49638285037
