Iteration,TrainingLoss,TrainingRMSE,ValidationLoss,ValidationRMSE,BaseLearnRate
1,1.01384651660919,1.42397081851959,0.00626667076721787,0.111952409148216,0.00100000004749745
2,0.989735782146454,1.40693700313568,NaN,NaN,0.00100000004749745
3,0.966283023357391,1.39016771316528,NaN,NaN,0.00100000004749745
4,0.942808449268341,1.37317776679993,NaN,NaN,0.00100000004749745
5,0.918822765350342,1.35559773445129,NaN,NaN,0.00100000004749745
6,0.893863379955292,1.33705914020538,NaN,NaN,0.00100000004749745
7,0.867536604404449,1.31722176074982,NaN,NaN,0.00100000004749745
8,0.839653134346008,1.29588055610657,NaN,NaN,0.00100000004749745
9,0.809898257255554,1.27271258831024,NaN,NaN,0.00100000004749745
10,0.777544260025024,1.24703192710876,NaN,NaN,0.00100000004749745
11,0.741814196109772,1.21804296970367,NaN,NaN,0.00100000004749745
12,0.702215671539307,1.1850870847702,NaN,NaN,0.00100000004749745
13,0.658821105957031,1.14788603782654,NaN,NaN,0.00100000004749745
14,0.613154113292694,1.10738801956177,NaN,NaN,0.00100000004749745
15,0.569870054721832,1.06758606433868,NaN,NaN,0.00100000004749745
16,0.540105402469635,1.03933191299438,NaN,NaN,0.00100000004749745
17,0.53346836566925,1.03292632102966,NaN,NaN,0.00100000004749745
18,0.541549801826477,1.04072082042694,NaN,NaN,0.00100000004749745
19,0.541729509830475,1.04089343547821,NaN,NaN,0.00100000004749745
20,0.518138885498047,1.01797735691071,NaN,NaN,0.00100000004749745
21,0.47504448890686,0.974725008010864,NaN,NaN,0.00100000004749745
22,0.429154694080353,0.926449954509735,NaN,NaN,0.00100000004749745
23,0.39500629901886,0.888826489448547,NaN,NaN,0.00100000004749745
24,0.377751290798187,0.869196474552155,NaN,NaN,0.00100000004749745
25,0.369597613811493,0.859764695167542,0.016100013628602,0.179443657398224,0.00100000004749745
26,0.361633718013763,0.850451171398163,NaN,NaN,0.00100000004749745
27,0.351027697324753,0.837887346744537,NaN,NaN,0.00100000004749745
28,0.33887979388237,0.823261499404907,NaN,NaN,0.00100000004749745
29,0.329581022262573,0.811888039112091,NaN,NaN,0.00100000004749745
30,0.328946739435196,0.811106264591217,NaN,NaN,0.00100000004749745
31,0.330825299024582,0.813419103622437,NaN,NaN,0.00100000004749745
32,0.327008455991745,0.80871319770813,NaN,NaN,0.00100000004749745
33,0.31820484995842,0.797752857208252,NaN,NaN,0.00100000004749745
34,0.311202108860016,0.788926005363464,NaN,NaN,0.00100000004749745
35,0.309468626976013,0.786725759506226,NaN,NaN,0.00100000004749745
36,0.307892978191376,0.784720242023468,NaN,NaN,0.00100000004749745
37,0.303676337003708,0.779328465461731,NaN,NaN,0.00100000004749745
38,0.297500252723694,0.771362841129303,NaN,NaN,0.00100000004749745
39,0.292725741863251,0.765148103237152,NaN,NaN,0.00100000004749745
40,0.291012942790985,0.762906312942505,NaN,NaN,0.00100000004749745
41,0.288717299699783,0.759891092777252,NaN,NaN,0.00100000004749745
42,0.285873115062714,0.756139099597931,NaN,NaN,0.00100000004749745
43,0.285152941942215,0.755186080932617,NaN,NaN,0.00100000004749745
44,0.284418076276779,0.754212141036987,NaN,NaN,0.00100000004749745
45,0.281995356082916,0.750993251800537,NaN,NaN,0.00100000004749745
46,0.279856503009796,0.74813973903656,NaN,NaN,0.00100000004749745
47,0.278607130050659,0.74646782875061,NaN,NaN,0.00100000004749745
48,0.276157259941101,0.743178606033325,NaN,NaN,0.00100000004749745
49,0.273715019226074,0.739885210990906,NaN,NaN,0.00100000004749745
50,0.271647751331329,0.737085819244385,0.0509302243590355,0.319155842065811,0.00100000004749745
51,0.269288539886475,0.733878254890442,NaN,NaN,0.00100000004749745
52,0.267122089862823,0.730920135974884,NaN,NaN,0.00100000004749745
53,0.264631003141403,0.727503955364227,NaN,NaN,0.00100000004749745
54,0.261817634105682,0.723626375198364,NaN,NaN,0.00100000004749745
