Epoch,TrainingLoss,ValidationLoss,TrainingRMSE,ValidationRMSE
1,0.28814479770759743,0.42365142703056335,0.52707456300656,0.6508851051330566
2,0.2839898057281971,0.41799625754356384,0.5172407353917757,0.6465262770652771
3,0.28220902134974796,0.41955846548080444,0.5231559003392855,0.6477333307266235
4,0.28245825817187625,0.42181944847106934,0.5213308135668436,0.6494762897491455
5,0.28653395113845664,0.4221784770488739,0.5224871511260668,0.6497526168823242
6,0.28158623973528546,0.41922807693481445,0.5217657188574473,0.6474782228469849
7,0.28014686579505604,0.4195261597633362,0.5115210389097532,0.6477084159851074
8,0.2836028275390466,0.4191454350948334,0.5248151247700056,0.6474144458770752
9,0.28502585366368294,0.42007169127464294,0.5213238224387169,0.648129403591156
10,0.28297513475020725,0.420009583234787,0.5283433670798937,0.6480814814567566
11,0.2805405215670665,0.4186041057109833,0.5180310135086378,0.6469962000846863
12,0.2790603085110585,0.420066237449646,0.5086979692180952,0.648125171661377
13,0.2832054529959957,0.4202859401702881,0.5181209308405718,0.6482946276664734
14,0.28394449191788834,0.4200293719768524,0.5109163771073023,0.6480967402458191
15,0.2845163233578205,0.4190308153629303,0.5268365318576494,0.647325873374939
16,0.28094279517730075,0.4198458194732666,0.516589879989624,0.6479551196098328
17,0.285670705139637,0.4203135669231415,0.5293773412704468,0.648315966129303
18,0.28410925591985386,0.4194926917552948,0.5222509404023489,0.6476825475692749
19,0.27997342745463055,0.419202595949173,0.5135418325662613,0.647458553314209
20,0.2822566758841276,0.41908037662506104,0.5221374581257502,0.6473641991615295
21,0.2811237188676993,0.4190075993537903,0.5183653061588606,0.6473079919815063
22,0.284861388305823,0.42025455832481384,0.5303228373328844,0.6482704281806946
23,0.28339466638863087,0.42024317383766174,0.5262758185466131,0.6482616662979126
24,0.2815596212943395,0.41956281661987305,0.5249987617135048,0.647736668586731
25,0.28295427560806274,0.4195255935192108,0.5254360288381577,0.6477079391479492
26,0.28711299784481525,0.4199329912662506,0.5247071832418442,0.6480223536491394
27,0.28381393663585186,0.4192713499069214,0.5214510088165601,0.6475116610527039
28,0.282068133354187,0.4188863933086395,0.5223941604296366,0.6472143530845642
29,0.2839529650906722,0.42054814100265503,0.527794303993384,0.6484968066215515
30,0.28441821535428363,0.41953545808792114,0.5248557229836782,0.6477155685424805
31,0.28306690976023674,0.4198068678379059,0.5233827208479246,0.6479250192642212
32,0.28362692706286907,0.4188457727432251,0.5197500139474869,0.6471829414367676
33,0.284688172241052,0.41903817653656006,0.5244104638695717,0.6473315954208374
34,0.2837504545847575,0.4193335473537445,0.525213286280632,0.6475597023963928
35,0.2821307008465131,0.41983672976493835,0.5220307658116022,0.6479480862617493
36,0.280184514199694,0.4194645583629608,0.5184846793611845,0.6476608514785767
37,0.28869073155025643,0.4198704957962036,0.5228962600231171,0.6479741334915161
38,0.28354817535728216,0.4192418158054352,0.5185478590428829,0.6474888324737549
39,0.28003114586075145,0.42024755477905273,0.5105885441104571,0.6482650637626648
40,0.28756846239169437,0.4197946786880493,0.5217166244983673,0.6479156613349915
41,0.28302428250511485,0.4190577268600464,0.5283819039662679,0.6473466753959656
42,0.28427091613411903,0.41904714703559875,0.5199970230460167,0.6473385095596313
43,0.2804682447264592,0.4188980758190155,0.5120287338892618,0.6472233533859253
44,0.285854559391737,0.42059487104415894,0.5201330582300822,0.6485328674316406
