dataset,evaluation,output,unit,MSE,RMSE,MAE,R2,fit_percent
147mA,Series,Displacement,mm,0.335094690322876,0.5788736393401206,0.5206708312034607,-1.4332384438807746,-55.9884264961513
147mA,Series,Lorentz force,N,1.3132894309819676e-05,0.0036239335410324066,0.0027224887162446976,0.7397993357907895,48.99013009916933
147mA,Series-parallel,Displacement,mm,6.70988520141691e-05,0.008191388894086831,0.006071274634450674,0.9995127720057029,97.79267550013884
147mA,Series-parallel,Lorentz force,N,2.871654913860766e-08,0.00016945957966018818,0.00011978450493188575,0.9994310420335848,97.61471594640531
147mA,Parallel,Displacement,mm,70845.1328125,266.1674901495297,214.46292114257812,-514430.0471956595,-71623.85396981801
147mA,Parallel,Lorentz force,N,42.67762756347656,6.532811612428187,5.449742317199707,-845566.3463445673,-91854.7478481391
