Epoch,TrainingLoss,ValidationLoss
1,0.46223618523984017,0.919221359208071
2,0.33699197124076796,0.9134639857899552
3,0.3350444067316719,0.8982973775273422
4,0.3318983520133586,0.8313349490102458
5,0.18016962339229223,0.1422768250971179
6,0.07311682417234287,0.05968869529897347
7,0.05062218581008006,0.0365748113108566
8,0.04231081396058391,0.028610747128065366
9,0.03513410288981999,0.020908295361247536
10,0.03293935520739495,0.019802863239116657
11,0.03502564872556095,0.02047355294052977
12,0.030524158366967605,0.01843173244560603
13,0.03345878041479029,0.019801885060587665
14,0.030886330235089306,0.018428666267330602
15,0.027225403681020194,0.017808577766118106
16,0.024563524418192196,0.016986441007854108
17,0.03027886320848631,0.01703768914740067
18,0.026117939702411996,0.018615983550262172
19,0.024765473660788958,0.015589256773334151
20,0.02463791619609051,0.015507991343232183
