Kind,Data role,Output,Unit,Samples,RMSE,MAE,MaxAbsError,NRMSE_percent,R2,Fit_percent
one_step_training,Training,Displacement,mm,24005,0.0003414414732363157,0.00013669222473989756,0.014336533844470978,0.0030377626519326882,0.999999950017106,99.97764314555616
one_step_training,Training,Lorentz force,N,24005,0.00024812178603057414,0.0001017538114711403,0.0041899532079696655,0.10764128723435942,0.999861800888307,98.82441881738035
one_step_validation,Validation,Displacement,mm,12000,0.0002813143527307996,0.00013150746851200287,0.011279985308647156,0.0032614644925674863,0.9999999669248099,99.98181341423398
one_step_validation,Validation,Lorentz force,N,12000,0.00022240472017576139,9.618057130416361e-05,0.0017421320080757141,0.12062301382144261,0.9998899018454417,98.95072332267259
one_step_internal_test,Internal test,Displacement,mm,11001,0.00024403912353409199,0.00012154243268758462,0.0058425068855285645,0.0033375153490780764,0.9999999752015228,99.98425246776469
one_step_internal_test,Internal test,Lorentz force,N,11001,0.00021624044764927697,9.329852811980493e-05,0.0017365366220474243,0.12071098076783288,0.9999012282075045,99.0061600103864
one_step_pure_test,Pure test,Displacement,mm,11805,0.0005297584041565451,0.0003278398995840507,0.0028991729486733675,0.007766465612679606,0.9999997477844655,99.94977893524599
one_step_pure_test,Pure test,Lorentz force,N,11805,0.0003468127863155247,0.00020182356599307883,0.0059989988803863525,0.17564478883689003,0.9998962798154012,98.9815689291913
