Epoch,TrainingLoss,ValidationLoss
1,0.537427669839014,0.9556403577298624
2,0.4100521789698661,0.9374430644675158
3,0.3623825826599628,0.92410338637031
4,0.36046744241744655,0.9226802036816176
5,0.3412043552232694,0.9211373860477275
6,0.33599633813092983,0.921111844938423
7,0.3442978742945043,0.9216338733531302
8,0.3377024233341217,0.9210071175524112
9,0.32824742973228044,0.9205090466178566
10,0.3199339218531983,0.91973915851122
11,0.34554386742507354,0.9194740456247624
12,0.3474870073267176,0.9202893208857859
13,0.31259730929815316,0.9174119410333029
14,0.2953370660543442,0.918398044223674
15,0.3220070342097101,0.9171632984628862
16,0.3185678596926641,0.9179198680115709
17,0.33468755683566953,0.9165616732037355
18,0.32367047771245616,0.9164528242957507
19,0.329481738654873,0.9154007971010287
20,0.32228039752078963,0.9156975719330754
