Iteration,TrainingLoss,TrainingRMSE,ValidationLoss,ValidationRMSE,BaseLearnRate
1,0.990747451782227,1.40765607357025,0.00540538271889091,0.103974834084511,0.00100000004749745
2,0.962189435958862,1.38721990585327,NaN,NaN,0.00100000004749745
3,0.937247633934021,1.36912214756012,NaN,NaN,0.00100000004749745
4,0.915897071361542,1.35343778133392,NaN,NaN,0.00100000004749745
5,0.89573723077774,1.33845973014832,NaN,NaN,0.00100000004749745
6,0.875793218612671,1.3234748840332,NaN,NaN,0.00100000004749745
7,0.855135977268219,1.3077734708786,NaN,NaN,0.00100000004749745
8,0.832080662250519,1.29002368450165,NaN,NaN,0.00100000004749745
9,0.806598901748657,1.27011716365814,NaN,NaN,0.00100000004749745
10,0.778288960456848,1.24762892723083,NaN,NaN,0.00100000004749745
11,0.746947169303894,1.22224974632263,NaN,NaN,0.00100000004749745
12,0.712636291980743,1.19384777545929,NaN,NaN,0.00100000004749745
13,0.675919890403748,1.16268646717072,NaN,NaN,0.00100000004749745
14,0.638760507106781,1.13027465343475,NaN,NaN,0.00100000004749745
15,0.605963945388794,1.10087597370148,NaN,NaN,0.00100000004749745
16,0.582813084125519,1.07964158058167,NaN,NaN,0.00100000004749745
17,0.568550705909729,1.06634962558746,NaN,NaN,0.00100000004749745
18,0.554289281368256,1.05289077758789,NaN,NaN,0.00100000004749745
19,0.529700338840485,1.02927196025848,NaN,NaN,0.00100000004749745
20,0.493580371141434,0.993559598922729,NaN,NaN,0.00100000004749745
21,0.454040944576263,0.952933251857758,NaN,NaN,0.00100000004749745
22,0.420618861913681,0.91719001531601,NaN,NaN,0.00100000004749745
23,0.397230058908463,0.891325056552887,NaN,NaN,0.00100000004749745
24,0.379056483507156,0.87069696187973,NaN,NaN,0.00100000004749745
25,0.360547930002213,0.849173605442047,0.0532772839069366,0.326426982879639,0.00100000004749745
26,0.340117216110229,0.824763357639313,NaN,NaN,0.00100000004749745
27,0.320555627346039,0.800694227218628,NaN,NaN,0.00100000004749745
28,0.309418946504593,0.786662518978119,NaN,NaN,0.00100000004749745
29,0.306187063455582,0.782543420791626,NaN,NaN,0.00100000004749745
30,0.301272451877594,0.776237726211548,NaN,NaN,0.00100000004749745
31,0.292001634836197,0.764201045036316,NaN,NaN,0.00100000004749745
32,0.284466683864594,0.754276692867279,NaN,NaN,0.00100000004749745
33,0.286097466945648,0.756435692310333,NaN,NaN,0.00100000004749745
34,0.289983093738556,0.761555194854736,NaN,NaN,0.00100000004749745
35,0.289439260959625,0.760840713977814,NaN,NaN,0.00100000004749745
36,0.28452467918396,0.754353523254395,NaN,NaN,0.00100000004749745
37,0.279236197471619,0.747310042381287,NaN,NaN,0.00100000004749745
38,0.28011167049408,0.748480677604675,NaN,NaN,0.00100000004749745
39,0.282002657651901,0.751002848148346,NaN,NaN,0.00100000004749745
40,0.277990221977234,0.745640933513641,NaN,NaN,0.00100000004749745
41,0.270505040884018,0.735533833503723,NaN,NaN,0.00100000004749745
42,0.266654491424561,0.730280160903931,NaN,NaN,0.00100000004749745
43,0.266030341386795,0.729424953460693,NaN,NaN,0.00100000004749745
44,0.263603627681732,0.726090371608734,NaN,NaN,0.00100000004749745
45,0.259668260812759,0.720650017261505,NaN,NaN,0.00100000004749745
46,0.258040100336075,0.718387186527252,NaN,NaN,0.00100000004749745
47,0.258059769868851,0.718414545059204,NaN,NaN,0.00100000004749745
48,0.256266742944717,0.7159144282341,NaN,NaN,0.00100000004749745
49,0.25416973233223,0.712979197502136,NaN,NaN,0.00100000004749745
50,0.252946406602859,0.711261451244354,0.0502857267856598,0.317130029201508,0.00100000004749745
51,0.250476837158203,0.707780838012695,NaN,NaN,0.00100000004749745
52,0.246791541576385,0.702554643154144,NaN,NaN,0.00100000004749745
53,0.243419274687767,0.697738170623779,NaN,NaN,0.00100000004749745
54,0.238308310508728,0.690374255180359,NaN,NaN,0.00100000004749745
55,0.231896549463272,0.68102353811264,NaN,NaN,0.00100000004749745
56,0.224568337202072,0.67017674446106,NaN,NaN,0.00100000004749745
57,0.214359819889069,0.654766857624054,NaN,NaN,0.00100000004749745
58,0.200148046016693,0.632689595222473,NaN,NaN,0.00100000004749745
59,0.181146994233131,0.601908564567566,NaN,NaN,0.00100000004749745
60,0.155036598443985,0.55684220790863,NaN,NaN,0.00100000004749745
61,0.120183870196342,0.490273058414459,NaN,NaN,0.00100000004749745
62,0.0851646363735199,0.412709683179855,NaN,NaN,0.00100000004749745
63,0.110218524932861,0.469507187604904,NaN,NaN,0.00100000004749745
64,0.271739631891251,0.73721045255661,NaN,NaN,0.00100000004749745
65,0.438408136367798,0.936384677886963,NaN,NaN,0.00100000004749745
66,0.454896479845047,0.953830659389496,NaN,NaN,0.00100000004749745
67,0.312974542379379,0.79116952419281,NaN,NaN,0.00100000004749745
68,0.143665552139282,0.536032736301422,NaN,NaN,0.00100000004749745
69,0.0925328955054283,0.430192768573761,NaN,NaN,0.00100000004749745
70,0.0962078645825386,0.438652187585831,NaN,NaN,0.00100000004749745
71,0.0923528447747231,0.429773986339569,NaN,NaN,0.00100000004749745
72,0.0757133364677429,0.389135807752609,NaN,NaN,0.00100000004749745
73,0.0573263056576252,0.338603913784027,NaN,NaN,0.00100000004749745
74,0.053869292140007,0.328235536813736,NaN,NaN,0.00100000004749745
75,0.0670706108212471,0.366252958774567,0.0141398021951318,0.168165400624275,0.00100000004749745
76,0.0773603543639183,0.393345564603806,NaN,NaN,0.00100000004749745
77,0.0721545144915581,0.379880309104919,NaN,NaN,0.00100000004749745
78,0.0536312833428383,0.327509641647339,NaN,NaN,0.00100000004749745
79,0.036365769803524,0.269687861204147,NaN,NaN,0.00100000004749745
80,0.0391798540949821,0.279928028583527,NaN,NaN,0.00100000004749745
81,0.050673134624958,0.318349361419678,NaN,NaN,0.00100000004749745
82,0.0535264499485493,0.327189415693283,NaN,NaN,0.00100000004749745
83,0.0467274747788906,0.305704057216644,NaN,NaN,0.00100000004749745
84,0.0388156212866306,0.278623819351196,NaN,NaN,0.00100000004749745
85,0.0365393869578838,0.270330816507339,NaN,NaN,0.00100000004749745
86,0.0342975631356239,0.261906713247299,NaN,NaN,0.00100000004749745
87,0.0316619239747524,0.251642286777496,NaN,NaN,0.00100000004749745
88,0.0317970290780067,0.252178609371185,NaN,NaN,0.00100000004749745
89,0.0330868996679783,0.257242679595947,NaN,NaN,0.00100000004749745
90,0.0312706343829632,0.250082492828369,NaN,NaN,0.00100000004749745
91,0.0267337821424007,0.231230542063713,NaN,NaN,0.00100000004749745
92,0.0290679652243853,0.241113930940628,NaN,NaN,0.00100000004749745
93,0.0353001281619072,0.265707075595856,NaN,NaN,0.00100000004749745
94,0.0331639908254147,0.257542222738266,NaN,NaN,0.00100000004749745
95,0.0271964687854052,0.23322294652462,NaN,NaN,0.00100000004749745
96,0.0277918018400669,0.235761776566505,NaN,NaN,0.00100000004749745
97,0.0293408744037151,0.242243126034737,NaN,NaN,0.00100000004749745
98,0.0286906156688929,0.239543810486794,NaN,NaN,0.00100000004749745
99,0.0285691991448402,0.239036396145821,NaN,NaN,0.00100000004749745
100,0.0275838728994131,0.234878152608871,0.0213085059076548,0.206438884139061,0.00100000004749745
101,0.0252093654125929,0.224541157484055,NaN,NaN,0.00100000004749745
102,0.0260985773056746,0.22846694290638,NaN,NaN,0.00100000004749745
103,0.0276505779474974,0.235161975026131,NaN,NaN,0.00100000004749745
104,0.0256536994129419,0.226511359214783,NaN,NaN,0.00100000004749745
105,0.0244738142937422,0.221241131424904,NaN,NaN,0.00100000004749745
106,0.0248729959130287,0.223038077354431,NaN,NaN,0.00100000004749745
107,0.0249382294714451,0.223330408334732,NaN,NaN,0.00100000004749745
108,0.0247010923922062,0.222266033291817,NaN,NaN,0.00100000004749745
109,0.0234680101275444,0.21664722263813,NaN,NaN,0.00100000004749745
110,0.0264195147901773,0.229867443442345,NaN,NaN,0.00100000004749745
111,0.0283122286200523,0.237958922982216,NaN,NaN,0.00100000004749745
112,0.0247513242065907,0.222491934895515,NaN,NaN,0.00100000004749745
113,0.0240211132913828,0.219185397028923,NaN,NaN,0.00100000004749745
114,0.0251308288425207,0.224191099405289,NaN,NaN,0.00100000004749745
115,0.0237724091857672,0.218047738075256,NaN,NaN,0.00100000004749745
116,0.0243844855576754,0.220836967229843,NaN,NaN,0.00100000004749745
117,0.0248725842684507,0.223036259412766,NaN,NaN,0.00100000004749745
118,0.0228036660701036,0.213558718562126,NaN,NaN,0.00100000004749745
119,0.0249800235033035,0.223517447710037,NaN,NaN,0.00100000004749745
120,0.0267743375152349,0.231405884027481,NaN,NaN,0.00100000004749745
121,0.0239560417830944,0.218888282775879,NaN,NaN,0.00100000004749745
122,0.0226480439305305,0.212828785181046,NaN,NaN,0.00100000004749745
123,0.0237191058695316,0.217803150415421,NaN,NaN,0.00100000004749745
124,0.0221257787197828,0.210360556840897,NaN,NaN,0.00100000004749745
125,0.0239914655685425,0.219050079584122,0.0151918353512883,0.174309119582176,0.00100000004749745
126,0.0255078561604023,0.225866571068764,NaN,NaN,0.00100000004749745
127,0.0229292139410973,0.214145824313164,NaN,NaN,0.00100000004749745
128,0.0227528046816587,0.213320434093475,NaN,NaN,0.00100000004749745
129,0.0242118071764708,0.220053672790527,NaN,NaN,0.00100000004749745
130,0.0221345741301775,0.210402369499207,NaN,NaN,0.00100000004749745
131,0.0227682422846556,0.213392794132233,NaN,NaN,0.00100000004749745
132,0.0239482298493385,0.21885259449482,NaN,NaN,0.00100000004749745
133,0.0217923168092966,0.208769336342812,NaN,NaN,0.00100000004749745
134,0.022805193439126,0.213565871119499,NaN,NaN,0.00100000004749745
135,0.024801641702652,0.222717955708504,NaN,NaN,0.00100000004749745
136,0.0221783556044102,0.210610315203667,NaN,NaN,0.00100000004749745
137,0.0216638594865799,0.20815309882164,NaN,NaN,0.00100000004749745
138,0.0226599499583244,0.212884694337845,NaN,NaN,0.00100000004749745
139,0.0209602694958448,0.204745054244995,NaN,NaN,0.00100000004749745
140,0.0228100791573524,0.213588789105415,NaN,NaN,0.00100000004749745
141,0.0247316025197506,0.22240324318409,NaN,NaN,0.00100000004749745
142,0.0217262171208858,0.208452463150024,NaN,NaN,0.00100000004749745
143,0.0209187995642424,0.204542398452759,NaN,NaN,0.00100000004749745
144,0.0220379512757063,0.209942623972893,NaN,NaN,0.00100000004749745
145,0.020306184887886,0.201525121927261,NaN,NaN,0.00100000004749745
146,0.0218230038881302,0.208916291594505,NaN,NaN,0.00100000004749745
147,0.0235160514712334,0.21686889231205,NaN,NaN,0.00100000004749745
148,0.0206793043762445,0.203368157148361,NaN,NaN,0.00100000004749745
149,0.0205127913504839,0.202547714114189,NaN,NaN,0.00100000004749745
150,0.0217951256781816,0.20878279209137,0.01520259026438,0.174370810389519,0.00100000004749745
151,0.0197890345007181,0.198942378163338,NaN,NaN,0.00100000004749745
