dataset,evaluation,output,unit,status,MSE,RMSE,MAE,R2,fit_percent
147mA,Persistence baseline,Displacement,mm,valid,9.95692316791974e-05,0.009978438338697965,0.0068664257414639,0.9992720518815553,97.3019478573851
147mA,Persistence baseline,Lorentz force,N,valid,1.6014296022603958e-07,0.00040017866038313387,0.0002993859816342592,0.9968241120744699,94.36449787539665
147mA,Mamba one-step,Displacement,mm,valid,7.817080768290907e-05,0.008841425658959593,0.00558238523080945,0.9994284952155221,97.6093830898177
147mA,Mamba one-step,Lorentz force,N,valid,9.236079989705104e-08,0.0003039091967957716,0.00023410333960782737,0.9981683394472345,95.72020911970398
147mA,Mamba free-running,Displacement,mm,invalid_diverged,36.04829406738281,6.004023156799349,5.657247543334961,-262.5481494154372,-1523.4168623470546
147mA,Mamba free-running,Lorentz force,N,invalid_diverged,0.007945064455270767,0.08913509104315072,0.08426353335380554,-156.56318442226066,-1155.2416678879079
