stage,epoch,teacher_forcing_ratio,training_normalized_mse,validation_normalized_mse
mamba_one_step,1,1.0,0.0005065822959736441,0.00046270431770959445
mamba_one_step,2,1.0,0.00046466875496800196,0.000418129739588486
mamba_one_step,3,1.0,0.0004188998207224138,0.0003628660342656076
mamba_one_step,4,1.0,0.0003703324887972099,0.00029887377055721326
mamba_one_step,5,1.0,0.0003196451280294268,0.00022994560902333703
mamba_one_step,6,1.0,0.0002590277360992111,0.00016721470634812458
mamba_rollout,1,0.0,0.09637732378074101,0.07039042313893636
mamba_rollout,2,0.0,0.09462332831961769,0.06698752691348393
