Epoch,TrainingLoss,ValidationLoss
1,0.47879221337505534,0.9136000292225314
2,0.3320087407585941,0.9020409156413128
3,0.32599769928787325,0.8553725892076424
4,0.2092459354596802,0.13395270645075166
5,0.0720674374812766,0.07053894278942607
6,0.05423877628732331,0.034594679906149395
7,0.042956680625299865,0.02589150330944297
8,0.036814131384974795,0.02042070445410597
9,0.031929852959664565,0.023319769049218547
10,0.028455189971512633,0.01816023855644744
11,0.03049605889127979,0.01549274335290344
12,0.027194165447844736,0.016027127327106427
13,0.027690176781314083,0.014552606264866578
14,0.026300243184536318,0.0164596355255829
15,0.024269749469394926,0.01393217138199058
16,0.022465612645013424,0.013376047301183766
17,0.026039431967972954,0.012724465389813608
18,0.023378185703878916,0.012421220958155269
19,0.021918781172437004,0.016135784610620856
20,0.021709846285513684,0.014320957891565437
