Epoch,TrainingLoss,ValidationLoss
1,0.47477758025066763,0.9239240235765465
2,0.34729218860215777,0.9267726944235619
3,0.3492201832653601,0.9236072216978451
4,0.35706322517576095,0.9212274174290845
5,0.33703499145900145,0.9210742497186098
6,0.33464402686568756,0.9217907074004567
7,0.3423089756618572,0.9207019536164202
8,0.3351717160283765,0.9203477001501597
9,0.32585007933121696,0.9197785420231716
10,0.31636491172675846,0.9202059011877282
11,0.34296682891966424,0.9192621932355299
12,0.345178987312166,0.9190647792808401
13,0.3108003982637502,0.9166446265311
14,0.2919311721490908,0.9178581373986768
15,0.31986295741900234,0.9177059290753581
16,0.3156576223577125,0.9172045739020783
17,0.33226353043242346,0.9162696321691328
18,0.3229505749820154,0.9160179178676723
19,0.3301067978520937,0.9163996921876484
20,0.3217527532502066,0.916346776454399
