dataset,evaluation,output,unit,status,MSE,RMSE,MAE,R2,fit_percent,rmse_rank,relative_RMSE_vs_best_percent,relative_RMSE_vs_LSTM_series_parallel_percent
147mA,Persistence baseline,Displacement,mm,valid,9.95692316791974e-05,0.009978438338697965,0.0068664257414639,0.9992720518815553,97.3019478573851,3,21.345946655669653,21.345946655669653
147mA,Persistence baseline,Lorentz force,N,valid,1.6014296022603958e-07,0.00040017866038313387,0.0002993859816342592,0.9968241120744699,94.36449787539665,3,116.69586623860447,116.69586623860447
147mA,LSTM series,Displacement,mm,valid,0.27949656165272396,0.528674343667937,0.46210289000400784,-1.0433922701199774,-42.947288662194524,4,6329.11110210073,6329.11110210073
147mA,LSTM series,Lorentz force,N,valid,2.4667192423238408e-05,0.004966607738007745,0.0036351989197092073,0.5108106192135982,30.057924922058977,4,2589.4071888404574,2589.4071888404574
147mA,LSTM series-parallel,Displacement,mm,valid,6.76199130164167e-05,0.008223132798174715,0.006176350699545462,0.9995056325317676,97.77656216556149,1,0.0,0.0
147mA,LSTM series-parallel,Lorentz force,N,valid,3.4104100451171634e-08,0.0001846729553864659,0.00013441480382204518,0.9993236618300237,97.3993497389253,1,0.0,0.0
147mA,Mamba one-step,Displacement,mm,valid,7.817080768290907e-05,0.008841425658959593,0.00558238523080945,0.9994284952155221,97.6093830898177,2,7.518945345527203,7.518945345527203
147mA,Mamba one-step,Lorentz force,N,valid,9.236079989705104e-08,0.0003039091967957716,0.00023410333960782737,0.9981683394472345,95.72020911970398,2,64.56616300951023,64.56616300951023
